# Energy(eV) COHP
-8.960694889858265455e+00 -1.902170206691636334e-07
-8.910694889858264744e+00 -5.011565749038101832e-07
-8.860694889858264034e+00 -1.240381695885093739e-06
-8.810694889858263323e+00 -2.884007430661364910e-06
-8.760694889858262613e+00 -6.299397299886424886e-06
-8.710694889858261902e+00 -1.292611979826796970e-05
-8.660694889858261192e+00 -2.491803336420459871e-05
-8.610694889858260481e+00 -4.512896587982605007e-05
-8.560694889858259771e+00 -7.679484967883210521e-05
-8.510694889858259060e+00 -1.228065820351034254e-04
-8.460694889858258350e+00 -1.846199631060666208e-04
-8.410694889858257639e+00 -2.611019859178112783e-04
-8.360694889858256929e+00 -3.478752063932842847e-04
-8.310694889858256218e+00 -4.378342600911525094e-04
-8.260694889858255507e+00 -5.233175764951757385e-04
-8.210694889858254797e+00 -5.998811582602544277e-04
-8.160694889858254086e+00 -6.708739375160409271e-04
-8.110694889858253376e+00 -7.513324676053699611e-04
-8.060694889858252665e+00 -8.693994584709353445e-04
-8.010694889858251955e+00 -1.063733643495480075e-03
-7.960694889858251244e+00 -1.376270870203859242e-03
-7.910694889858250534e+00 -1.841104180314922156e-03
-7.860694889858249823e+00 -2.471864253635447112e-03
-7.810694889858249113e+00 -3.251259942437314220e-03
-7.760694889858248402e+00 -4.126698845391422489e-03
-7.710694889858247691e+00 -5.014654637505652768e-03
-7.660694889858246981e+00 -5.813819835670921803e-03
-7.610694889858246270e+00 -6.424036639952790569e-03
-7.560694889858245560e+00 -6.765917902327784304e-03
-7.510694889858244849e+00 -6.795944374665166023e-03
-7.460694889858244139e+00 -6.513603372538122500e-03
-7.410694889858243428e+00 -5.959809286986646193e-03
-7.360694889858242718e+00 -5.208193647774599436e-03
-7.310694889858242007e+00 -4.352184881688649434e-03
-7.260694889858241297e+00 -3.491120782722413260e-03
-7.210694889858240586e+00 -2.718228332928163821e-03
-7.160694889858239875e+00 -2.112298970179180349e-03
-7.110694889858239165e+00 -1.733326419084010861e-03
-7.060694889858238454e+00 -1.620618439195372230e-03
-7.010694889858237744e+00 -1.790813099240028778e-03
-6.960694889858237033e+00 -2.233793699246838359e-03
-6.910694889858236323e+00 -2.906949520700203259e-03
-6.860694889858235612e+00 -3.731512779987127600e-03
-6.810694889858234902e+00 -4.596719928592842355e-03
-6.760694889858234191e+00 -5.376341952499353455e-03
-6.710694889858233481e+00 -5.957323596153303417e-03
-6.660694889858232770e+00 -6.273738416136821240e-03
-6.610694889858232060e+00 -6.334369945449093431e-03
-6.560694889858231349e+00 -6.231924453108605121e-03
-6.510694889858230638e+00 -6.126907343974116564e-03
-6.460694889858229928e+00 -6.207641412950380341e-03
-6.410694889858229217e+00 -6.636386983986200007e-03
-6.360694889858228507e+00 -7.496970992307006899e-03
-6.310694889858227796e+00 -8.760080910265293647e-03
-6.260694889858227086e+00 -1.027819586045375898e-02
-6.210694889858226375e+00 -1.181386773059924823e-02
-6.160694889858225665e+00 -1.309471686297711442e-02
