# Energy(eV) COHP
-8.960694889858265455e+00 -1.902169740941797407e-07
-8.910694889858264744e+00 -5.011563308192825039e-07
-8.860694889858264034e+00 -1.240380494148868355e-06
-8.810694889858263323e+00 -2.884001872048365427e-06
-8.760694889858262613e+00 -6.299373144103978565e-06
-8.710694889858261902e+00 -1.292602117379266024e-05
-8.660694889858261192e+00 -2.491765503312831293e-05
-8.610694889858260481e+00 -4.512760223276403407e-05
-8.560694889858259771e+00 -7.679023120121456067e-05
-8.510694889858259060e+00 -1.227918828384638435e-04
-8.460694889858258350e+00 -1.845759962066778333e-04
-8.410694889858257639e+00 -2.609783780690770561e-04
-8.360694889858256929e+00 -3.475485294519557343e-04
-8.310694889858256218e+00 -4.370225055699738701e-04
-8.260694889858255507e+00 -5.214205735825137118e-04
-8.210694889858254797e+00 -5.957107511254419556e-04
-8.160694889858254086e+00 -6.622457563638872117e-04
-8.110694889858253376e+00 -7.345253346833296396e-04
-8.060694889858252665e+00 -8.385567427323443361e-04
-8.010694889858251955e+00 -1.010375232115580651e-03
-7.960694889858251244e+00 -1.289171675668808210e-03
-7.910694889858250534e+00 -1.706820188205252333e-03
-7.860694889858249823e+00 -2.276096728081642307e-03
-7.810694889858249113e+00 -2.981028860395573948e-03
-7.760694889858248402e+00 -3.773002563040091240e-03
-7.710694889858247691e+00 -4.575038593495969405e-03
-7.660694889858246981e+00 -5.294183524166371814e-03
-7.610694889858246270e+00 -5.839132761154269304e-03
-7.560694889858245560e+00 -6.138298999972085536e-03
-7.510694889858244849e+00 -6.153476476839692469e-03
-7.460694889858244139e+00 -5.885975121925333432e-03
-7.410694889858243428e+00 -5.374650932277230155e-03
-7.360694889858242718e+00 -4.687468357396451166e-03
-7.310694889858242007e+00 -3.909431729130378140e-03
-7.260694889858241297e+00 -3.129925051408083934e-03
-7.210694889858240586e+00 -2.432006600439851063e-03
-7.160694889858239875e+00 -1.885204212459593021e-03
-7.110694889858239165e+00 -1.541928905767251702e-03
-7.060694889858238454e+00 -1.436085286326978325e-03
-7.010694889858237744e+00 -1.581545824272976002e-03
-6.960694889858237033e+00 -1.968695643663264088e-03
-6.910694889858236323e+00 -2.559443012290790135e-03
-6.860694889858235612e+00 -3.283992399424442207e-03
-6.810694889858234902e+00 -4.044452812726445634e-03
-6.760694889858234191e+00 -4.729291006348254438e-03
-6.710694889858233481e+00 -5.238410636241529715e-03
-6.660694889858232770e+00 -5.512899209908023179e-03
-6.610694889858232060e+00 -5.559198145053377733e-03
-6.560694889858231349e+00 -5.457212038184692734e-03
-6.510694889858230638e+00 -5.346313500557521754e-03
-6.460694889858229928e+00 -5.390609281034136266e-03
-6.410694889858229217e+00 -5.732211772676984105e-03
-6.360694889858228507e+00 -6.445913388994986559e-03
-6.310694889858227796e+00 -7.509181730829653928e-03
-6.260694889858227086e+00 -8.797667069308796883e-03
-6.210694889858226375e+00 -1.010927249112653081e-02
-6.160694889858225665e+00 -1.121102742853252385e-02
-6.110694889858224954e+00 -1.189528288829649200e-02
-6.060694889858224244e+00 -1.202826966263527073e-02
-6.010694889858223533e+00 -1.157680010611790954e-02
-5.960694889858222822e+00 -1.060705595606405843e-02
-5.910694889858222112e+00 -9.259378165228563870e-03
-5.860694889858221401e+00 -7.710256372738828051e-03
-5.810694889858220691e+00 -6.134530993806858006e-03
-5.760694889858219980e+00 -4.677492088533211252e-03
-5.710694889858219270e+00 -3.440750320027597536e-03
-5.660694889858218559e+00 -2.480473941595054497e-03
-5.610694889858217849e+00 -1.813580761615253252e-03
-5.560694889858217138e+00 -1.426942012543981966e-03
-5.510694889858216428e+00 -1.285903628209606646e-03
-5.460694889858215717e+00 -1.340580890699293688e-03
-5.410694889858215006e+00 -1.530605304983441916e-03
-5.360694889858214296e+00 -1.790481378304194411e-03
-5.310694889858213585e+00 -2.057763457001463795e-03
-5.260694889858212875e+00 -2.284714165247871132e-03
-5.210694889858212164e+00 -2.451578168053416065e-03
-5.160694889858211454e+00 -2.577341580822917460e-03
-5.110694889858210743e+00 -2.723079113364191509e-03
-5.060694889858210033e+00 -2.984269688621843473e-03
-5.010694889858209322e+00 -3.471430054875986309e-03
-4.960694889858208612e+00 -4.282095808937008176e-03
-4.910694889858207901e+00 -5.470429871513540765e-03
-4.860694889858207191e+00 -7.022539349568483052e-03
-4.810694889858206480e+00 -8.845153909301474091e-03
-4.760694889858205769e+00 -1.077236938567611643e-02
-4.710694889858205059e+00 -1.259029105338968502e-02
-4.660694889858204348e+00 -1.407424644595119297e-02
-4.610694889858203638e+00 -1.502980117008169761e-02
-4.560694889858202927e+00 -1.532835810150972970e-02
-4.510694889858202217e+00 -1.493036015225839008e-02
-4.460694889858201506e+00 -1.389258380601136877e-02
-4.410694889858200796e+00 -1.235927071326558928e-02
-4.360694889858200085e+00 -1.053937489931914412e-02
-4.310694889858199375e+00 -8.674166619588375912e-03
-4.260694889858198664e+00 -7.000823683693890333e-03
-4.210694889858197953e+00 -5.717953339519027921e-03
-4.160694889858197243e+00 -4.957877473419088944e-03
-4.110694889858196532e+00 -4.768597176117998944e-03
-4.060694889858195822e+00 -5.106986629294305892e-03
-4.010694889858195111e+00 -5.844732463924724210e-03
-3.960694889858194401e+00 -6.788921688065207953e-03
-3.910694889858193690e+00 -7.717849727080203920e-03
-3.860694889858192980e+00 -8.428200180356722887e-03
-3.810694889858192269e+00 -8.783489660577889491e-03
-3.760694889858191559e+00 -8.749288918224705502e-03
-3.710694889858190848e+00 -8.401980558320908468e-03
-3.660694889858190137e+00 -7.905566352080173331e-03
-3.610694889858189427e+00 -7.462236706608824967e-03
-3.560694889858188716e+00 -7.251837641979566422e-03
-3.510694889858188006e+00 -7.378852581666366095e-03
-3.460694889858187295e+00 -7.842201072177612878e-03
-3.410694889858186585e+00 -8.535313574349858573e-03
-3.360694889858185874e+00 -9.274975874251911723e-03
-3.310694889858185164e+00 -9.849967520723744777e-03
-3.260694889858184453e+00 -1.007585449164258642e-02
-3.210694889858183743e+00 -9.841054947278028708e-03
-3.160694889858183032e+00 -9.131916695305978063e-03
-3.110694889858182322e+00 -8.030883316572961367e-03
-3.060694889858181611e+00 -6.690324706574881167e-03
-3.010694889858180900e+00 -5.292225365205590823e-03
-2.960694889858180190e+00 -4.007435271020834411e-03
-2.910694889858179479e+00 -2.966121619782246741e-03
-2.860694889858178769e+00 -2.244773438981954774e-03
