energy_ev,abacus_si_si_minus_cohp,lobster_si_si_minus_pcohp,lobster_scaled_minus_pcohp
-12.020030,2.4449569628e-03,-0.0000000000e+00,-0.0000000000e+00
-11.970030,3.6334578769e-03,4.7424121406e-03,1.7663442157e-04
-11.920030,5.2964038901e-03,1.0371980831e-02,3.8631160268e-04
-11.870030,7.4049839683e-03,1.8190870433e-02,6.7753155602e-04
-11.820030,9.8506283444e-03,2.8223710064e-02,1.0512116100e-03
-11.770030,1.2445654147e-02,4.0449628594e-02,1.5065744051e-03
-11.720030,1.4946825483e-02,5.4865659812e-02,2.0435094627e-03
-11.670030,1.7097674714e-02,7.1496821086e-02,2.6629485719e-03
-11.620030,1.8676548562e-02,9.0321182109e-02,3.3640749232e-03
-11.570030,1.9534472498e-02,1.1134421841e-01,4.1470924565e-03
-11.520030,1.9612161123e-02,1.3456400359e-01,5.0119294222e-03
-11.470030,1.8935668545e-02,1.5998664137e-01,5.9588131569e-03
-11.420030,1.7598822904e-02,1.8760679577e-01,6.9875449184e-03
-11.370030,1.5742683348e-02,2.1743476038e-01,8.0985080992e-03
-11.320030,1.3537820786e-02,2.4944974246e-01,9.2909282588e-03
-11.270030,1.1168923219e-02,2.8145978035e-01,1.0483164269e-02
-11.220030,8.8183207367e-03,2.8320423922e-01,1.0548137846e-02
-11.170030,6.6472344802e-03,2.7683653623e-01,1.0310968342e-02
-11.120030,4.7782298955e-03,2.7399206869e-01,1.0205024181e-02
-11.070030,3.2851989739e-03,2.7499466454e-01,1.0242366557e-02
-11.020030,2.1957904321e-03,2.7983430026e-01,1.0422622138e-02
-10.970030,1.5064303174e-03,2.8838633586e-01,1.0741148621e-02
-10.920030,1.2047920026e-03,2.9880631390e-01,1.1129247913e-02
-10.870030,1.2913092378e-03,3.0956640846e-01,1.1530015080e-02
-10.820030,1.7910037318e-03,3.2059830671e-01,1.1940905764e-02
-10.770030,2.7492349441e-03,3.3188025559e-01,1.2361109756e-02
-10.720030,4.2094941494e-03,3.4340919744e-01,1.2790513173e-02
-10.670030,6.1776553093e-03,3.5519894968e-01,1.3229630652e-02
-10.620030,8.5840415497e-03,3.6724797125e-01,1.3678404797e-02
-10.570030,1.1259588917e-02,3.7954430026e-01,1.4136390080e-02
-10.520030,1.3941623443e-02,3.9209200479e-01,1.4603738017e-02
-10.470030,1.6316063353e-02,4.0489851438e-01,1.5080725328e-02
-10.420030,1.8088144268e-02,4.1796171691e-01,1.5567273345e-02
-10.370030,1.9059689056e-02,4.3127692292e-01,1.6063207406e-02
-10.320030,1.9185661429e-02,4.4485090455e-01,1.6568779744e-02
-10.270030,1.8590404333e-02,4.5867203035e-01,1.7083557137e-02
-10.220030,1.7540936647e-02,4.7275415335e-01,1.7608055553e-02
-10.170030,1.6391076340e-02,4.8708352965e-01,1.8141763087e-02
-10.120030,1.5516407546e-02,5.0167393970e-01,1.8685193005e-02
-10.070030,1.5253975569e-02,5.1651434505e-01,1.9237934171e-02
-10.020030,1.5849026976e-02,5.3161046516e-01,1.9800199610e-02
-9.970030,1.7405020375e-02,5.4924169329e-01,2.0456886901e-02
-9.920030,1.9838708133e-02,5.7854007588e-01,2.1548125433e-02
-9.870030,2.2855285245e-02,6.2235982232e-01,2.3180222209e-02
-9.820030,2.5967338558e-02,6.8087721845e-01,2.5359743118e-02
-9.770030,2.8574329052e-02,7.5409741613e-01,2.8086880044e-02
-9.720030,3.0095417283e-02,8.4198558195e-01,3.1360335592e-02
-9.670030,3.0119237323e-02,9.3656824281e-01,3.4883132239e-02
-9.620030,2.8517658476e-02,1.0056133546e+00,3.7454765203e-02
-9.570030,2.5478999915e-02,1.0387032621e+00,3.8687221704e-02
-9.520030,2.1447461963e-02,1.0351837320e+00,3.8556134370e-02
-9.470030,1.6993741519e-02,9.9504207468e-01,3.7061030567e-02
-9.420030,1.2667036426e-02,9.1830152326e-01,3.4202775630e-02
-9.370030,8.8793631240e-03,8.0493333067e-01,2.9980298855e-02
-9.320030,5.8521322478e-03,6.6059312700e-01,2.4604248097e-02
-9.270030,3.6258715705e-03,5.9607371531e-01,2.2201177966e-02
-9.220030,2.1117729072e-03,5.7715368211e-01,2.1496488238e-02
-9.170030,1.1562592729e-03,5.6172825080e-01,2.0921957375e-02
-9.120030,5.9564050135e-04,5.4597765822e-01,2.0335315656e-02
-9.070030,2.9006577042e-04,5.2990465655e-01,1.9736665588e-02
-9.020030,1.3709372708e-04,5.1351237220e-01,1.9126123615e-02
-8.970030,7.1371634710e-05,4.9679513476e-01,1.8503478540e-02
-8.920030,5.8019785777e-05,4.7975531550e-01,1.7868818681e-02
-8.870030,8.5342446121e-05,4.6239929128e-01,1.7222381550e-02
-8.820030,1.5960452708e-04,4.4472160543e-01,1.6563963909e-02
-8.770030,3.0215548618e-04,4.2671565895e-01,1.5893319973e-02
-8.720030,5.4759878206e-04,4.0839293671e-01,1.5210877506e-02
-8.670030,9.4100278986e-04,3.8973955272e-01,1.4516119312e-02
-8.620030,1.5322703042e-03,3.7077455471e-01,1.3809754839e-02
-8.570030,2.3666870196e-03,3.5148626472e-01,1.3091349132e-02
-8.520030,3.4721787997e-03,3.3186611821e-01,1.2360583200e-02
-8.470030,4.8454837068e-03,3.1193421725e-01,1.1618205757e-02
