# Energy(eV) COHP
-5.870350552007562506e+00 -4.828928168327784563e-04
-5.770350552007562861e+00 -7.989304483449386450e-04
-5.670350552007563216e+00 -1.188689152554177775e-03
-5.570350552007563572e+00 -1.601559390680224728e-03
-5.470350552007563927e+00 -1.985384094456688325e-03
-5.370350552007564282e+00 -2.341259150700229254e-03
-5.270350552007564637e+00 -2.780250342841710919e-03
-5.170350552007564993e+00 -3.539757876302019809e-03
-5.070350552007565348e+00 -4.923417130364953452e-03
-4.970350552007565703e+00 -7.163620469646164723e-03
-4.870350552007566058e+00 -1.025750273320984521e-02
-4.770350552007566414e+00 -1.386524644128318655e-02
-4.670350552007566769e+00 -1.734873338010518504e-02
-4.570350552007567124e+00 -1.995929220249692895e-02
-4.470350552007567480e+00 -2.109525971820622528e-02
-4.370350552007567835e+00 -2.050920670736452664e-02
-4.270350552007568190e+00 -1.838116201651927156e-02
-4.170350552007568545e+00 -1.525209497456622883e-02
-4.070350552007568901e+00 -1.187057819209171895e-02
-3.970350552007569256e+00 -9.017599644252905638e-03
-3.870350552007569611e+00 -7.352768742129213095e-03
-3.770350552007569966e+00 -7.294059247185335007e-03
-3.670350552007570322e+00 -8.926240316138077738e-03
-3.570350552007570677e+00 -1.194969959471269862e-02
-3.470350552007571032e+00 -1.572118545251663391e-02
-3.370350552007571387e+00 -1.944457386640255706e-02
-3.270350552007571743e+00 -2.249019027688850536e-02
-3.170350552007572098e+00 -2.468904104593546561e-02
-3.070350552007572453e+00 -2.638718293379574420e-02
-2.970350552007572809e+00 -2.815622196029887031e-02
-2.870350552007573164e+00 -3.029699993195902191e-02
-2.770350552007573519e+00 -3.246672494018555677e-02
-2.670350552007573874e+00 -3.372789815673378488e-02
-2.570350552007574230e+00 -3.304184505293379648e-02
-2.470350552007574585e+00 -2.989921900787750539e-02
-2.370350552007574940e+00 -2.466239464260550421e-02
-2.270350552007575295e+00 -1.840247598278673888e-02
-2.170350552007575651e+00 -1.237817205704938583e-02
-2.070350552007576006e+00 -7.521706512991711141e-03
-1.970350552007576361e+00 -4.217677548802778800e-03
-1.870350552007576717e+00 -2.405155120322406952e-03
-1.770350552007577072e+00 -1.833169174533217033e-03
-1.670350552007577427e+00 -2.272488284761489587e-03
-1.570350552007577782e+00 -3.582375334993991804e-03
-1.470350552007578138e+00 -5.643193349127623853e-03
-1.370350552007578493e+00 -8.234573099007734542e-03
-1.270350552007578848e+00 -1.095744086621814641e-02
-1.170350552007579203e+00 -1.327137487153754597e-02
-1.070350552007579559e+00 -1.465140872895700011e-02
-9.703505520075799140e-01 -1.478756458479500886e-02
-8.703505520075802693e-01 -1.371023795815624197e-02
-7.703505520075806245e-01 -1.176558469002693917e-02
-6.703505520075809798e-01 -9.464679314868671214e-03
-5.703505520075813351e-01 -7.308956453845149095e-03
-4.703505520075816904e-01 -5.686958239881936134e-03
-3.703505520075820456e-01 -4.856967783215830094e-03
-2.703505520075824009e-01 -4.954961010894131865e-03
-1.703505520075827562e-01 -5.964566258232944715e-03
-7.035055200758311145e-02 -7.652760584179766831e-03
2.964944799241653328e-02 -9.546953466971938931e-03
1.296494479924161780e-01 -1.103404317725247864e-02
2.296494479924158227e-01 -1.158104906978957294e-02
3.296494479924154675e-01 -1.096898778105820718e-02
4.296494479924151122e-01 -9.393377039766457118e-03
5.296494479924147569e-01 -7.361516584945228779e-03
6.296494479924144017e-01 -5.450019937657772998e-03
7.296494479924140464e-01 -4.066112997722468210e-03
8.296494479924136911e-01 -3.329232372195397010e-03
9.296494479924133358e-01 -3.098714335905135547e-03
1.029649447992412981e+00 -3.097243651676255018e-03
1.129649447992412625e+00 -3.055038679358679059e-03
1.229649447992412270e+00 -2.813596892232507300e-03
1.329649447992411915e+00 -2.357569347813493615e-03
1.429649447992411559e+00 -1.778003815678394842e-03
1.529649447992411204e+00 -1.199972997481992291e-03
1.629649447992410849e+00 -7.176830725475089002e-04
1.729649447992410494e+00 -3.647578378581196401e-04
1.829649447992410138e+00 -1.200187180193467535e-04
1.929649447992409783e+00 6.929811390065568463e-05
2.029649447992409428e+00 2.651615593231773237e-04
2.129649447992409073e+00 5.244833870098886131e-04
2.229649447992408717e+00 8.901234330755789133e-04
2.329649447992408362e+00 1.381546525273564217e-03
2.429649447992408007e+00 1.983560769414693080e-03
2.529649447992407651e+00 2.638274362265798003e-03
2.629649447992407296e+00 3.249435840449846607e-03
2.729649447992406941e+00 3.705000335974468692e-03
2.829649447992406586e+00 3.913016212349343034e-03
2.929649447992406230e+00 3.834982091238052504e-03
3.029649447992405875e+00 3.499491312111594355e-03
3.129649447992405520e+00 2.989747155125481535e-03
3.229649447992405165e+00 2.413162285497272037e-03
3.329649447992404809e+00 1.869177011891086935e-03
3.429649447992404454e+00 1.429524242238168702e-03
3.529649447992404099e+00 1.137341576844134571e-03
3.629649447992403744e+00 1.021868149612717176e-03
3.729649447992403388e+00 1.116326704962236757e-03
3.829649447992403033e+00 1.462203508037559097e-03
3.929649447992402678e+00 2.089346265907776872e-03
4.029649447992402322e+00 2.978501769226181168e-03
4.129649447992401967e+00 4.030779621289067895e-03
4.229649447992401612e+00 5.071661136188961028e-03
4.329649447992401257e+00 5.899323337045668872e-03
4.429649447992400901e+00 6.359554210699458650e-03
4.529649447992400546e+00 6.412229591003377506e-03
4.629649447992400191e+00 6.156991777681599352e-03
4.729649447992399836e+00 5.802391874074747970e-03
4.829649447992399480e+00 5.584351389510169329e-03
4.929649447992399125e+00 5.663903913678854443e-03
5.029649447992398770e+00 6.054748803645978311e-03
5.129649447992398414e+00 6.628355261974522641e-03
5.229649447992398059e+00 7.201948088169048134e-03
5.329649447992397704e+00 7.651863583836948472e-03
5.429649447992397349e+00 7.965751053568318266e-03
5.529649447992396993e+00 8.191338642076733192e-03
5.629649447992396638e+00 8.329717577606641707e-03
5.729649447992396283e+00 8.275720600657518813e-03
5.829649447992395928e+00 7.869452270829895707e-03
5.929649447992395572e+00 7.022650295674217821e-03
6.029649447992395217e+00 5.815406688102684601e-03
6.129649447992394862e+00 4.484600675246818574e-03
6.229649447992394506e+00 3.314378941303859714e-03
6.329649447992394151e+00 2.507410656587776617e-03
6.429649447992393796e+00 2.114325516437110756e-03
6.529649447992393441e+00 2.048865210204633188e-03
6.629649447992393085e+00 2.167820795379640179e-03
6.729649447992392730e+00 2.372937666597867059e-03
6.829649447992392375e+00 2.689914310086195717e-03
6.929649447992392020e+00 3.286230444004904251e-03
7.029649447992391664e+00 4.406491234909687416e-03
7.129649447992391309e+00 6.237815484754159409e-03
7.229649447992390954e+00 8.763434539873153628e-03
7.329649447992390598e+00 1.169569535914869070e-02
7.429649447992390243e+00 1.456648684343584896e-02
7.529649447992389888e+00 1.697957737468151415e-02
7.629649447992389533e+00 1.892550029141456397e-02
7.729649447992389177e+00 2.098641430075454811e-02
7.829649447992388822e+00 2.426360047031040496e-02
7.929649447992388467e+00 2.995651825510788763e-02
8.029649447992387223e+00 3.869815796741703229e-02
8.129649447992388644e+00 4.995531646526964881e-02
8.229649447992386513e+00 6.189770969639389608e-02
8.329649447992387934e+00 7.196020422273313732e-02
8.429649447992385802e+00 7.788233529631813368e-02
8.529649447992387223e+00 7.862932512132844720e-02
8.629649447992385092e+00 7.465933861646782688e-02
8.729649447992386513e+00 6.749661041287585705e-02
8.829649447992384381e+00 5.903315442346111774e-02
8.929649447992385802e+00 5.098622626501246591e-02
9.029649447992383671e+00 4.458947332542131936e-02
9.129649447992385092e+00 4.036887282892950152e-02
9.229649447992382960e+00 3.798595318879725152e-02
9.329649447992384381e+00 3.635245262812773076e-02
9.429649447992382250e+00 3.415491198369637049e-02
9.529649447992383671e+00 3.058663372337619424e-02
9.629649447992381539e+00 2.584464037382684654e-02
9.729649447992382960e+00 2.108631772924152159e-02
9.829649447992380829e+00 1.792047110328509607e-02
9.929649447992382250e+00 1.777076045796222373e-02
1.002964944799238012e+01 2.140910133021948700e-02
1.012964944799238154e+01 2.874287885189899527e-02
1.022964944799238296e+01 3.879239077613707426e-02
1.032964944799238083e+01 4.980690177529794455e-02
1.042964944799237870e+01 5.954857409112732786e-02
1.052964944799238012e+01 6.578888726761690509e-02
