# Energy(eV) COHP
-1.132132382284444390e+02 0.000000000000000000e+00
-1.131632382284444418e+02 0.000000000000000000e+00
-1.131132382284444446e+02 0.000000000000000000e+00
-1.130632382284444475e+02 0.000000000000000000e+00
-1.130132382284444503e+02 0.000000000000000000e+00
-1.129632382284444532e+02 0.000000000000000000e+00
-1.129132382284444560e+02 0.000000000000000000e+00
-1.128632382284444589e+02 0.000000000000000000e+00
-1.128132382284444617e+02 0.000000000000000000e+00
-1.127632382284444645e+02 0.000000000000000000e+00
-1.127132382284444674e+02 0.000000000000000000e+00
-1.126632382284444702e+02 0.000000000000000000e+00
-1.126132382284444731e+02 0.000000000000000000e+00
-1.125632382284444759e+02 0.000000000000000000e+00
-1.125132382284444788e+02 0.000000000000000000e+00
-1.124632382284444816e+02 0.000000000000000000e+00
-1.124132382284444844e+02 0.000000000000000000e+00
-1.123632382284444873e+02 0.000000000000000000e+00
-1.123132382284444901e+02 0.000000000000000000e+00
-1.122632382284444930e+02 0.000000000000000000e+00
-1.122132382284444958e+02 0.000000000000000000e+00
-1.121632382284444986e+02 0.000000000000000000e+00
-1.121132382284445015e+02 0.000000000000000000e+00
-1.120632382284445043e+02 0.000000000000000000e+00
-1.120132382284445072e+02 0.000000000000000000e+00
-1.119632382284445100e+02 0.000000000000000000e+00
-1.119132382284445129e+02 0.000000000000000000e+00
-1.118632382284445157e+02 0.000000000000000000e+00
-1.118132382284445185e+02 0.000000000000000000e+00
-1.117632382284445214e+02 0.000000000000000000e+00
-1.117132382284445242e+02 0.000000000000000000e+00
-1.116632382284445271e+02 0.000000000000000000e+00
-1.116132382284445299e+02 0.000000000000000000e+00
-1.115632382284445328e+02 0.000000000000000000e+00
-1.115132382284445356e+02 0.000000000000000000e+00
-1.114632382284445384e+02 0.000000000000000000e+00
-1.114132382284445413e+02 0.000000000000000000e+00
-1.113632382284445441e+02 0.000000000000000000e+00
-1.113132382284445470e+02 0.000000000000000000e+00
-1.112632382284445498e+02 0.000000000000000000e+00
-1.112132382284445526e+02 0.000000000000000000e+00
-1.111632382284445555e+02 0.000000000000000000e+00
-1.111132382284445583e+02 0.000000000000000000e+00
-1.110632382284445612e+02 0.000000000000000000e+00
-1.110132382284445640e+02 0.000000000000000000e+00
-1.109632382284445669e+02 0.000000000000000000e+00
-1.109132382284445697e+02 0.000000000000000000e+00
-1.108632382284445725e+02 0.000000000000000000e+00
-1.108132382284445754e+02 0.000000000000000000e+00
-1.107632382284445782e+02 0.000000000000000000e+00
-1.107132382284445811e+02 0.000000000000000000e+00
-1.106632382284445839e+02 0.000000000000000000e+00
-1.106132382284445868e+02 0.000000000000000000e+00
-1.105632382284445896e+02 0.000000000000000000e+00
-1.105132382284445924e+02 -1.531603502107864287e-321
-1.104632382284445953e+02 -1.983162210109159185e-317
-1.104132382284445981e+02 -2.412352425932029938e-313
-1.103632382284446010e+02 -2.756638519633819056e-309
-1.103132382284446038e+02 -2.959207919629321472e-305
-1.102632382284446066e+02 -2.984198691741289197e-301
-1.102132382284446095e+02 -2.827070153272408925e-297
-1.101632382284446123e+02 -2.515950141013520815e-293
-1.101132382284446152e+02 -2.103410657520576832e-289
-1.100632382284446180e+02 -1.651972086096720626e-285
-1.100132382284446209e+02 -1.218815403064452968e-281
-1.099632382284446237e+02 -8.447530304222814295e-278
-1.099132382284446265e+02 -5.500196148591023231e-274
-1.098632382284446294e+02 -3.364210730570148950e-270
-1.098132382284446322e+02 -1.933057625139346969e-266
-1.097632382284446351e+02 -1.043429244245961877e-262
-1.097132382284446379e+02 -5.291000508708664666e-259
-1.096632382284446408e+02 -2.520398409641127875e-255
-1.096132382284446436e+02 -1.127865170365427525e-251
-1.095632382284446464e+02 -4.741347306192410328e-248
-1.095132382284446493e+02 -1.872418601842834287e-244
-1.094632382284446521e+02 -6.946414909811531937e-241
-1.094132382284446550e+02 -2.420890176821792121e-237
-1.093632382284446578e+02 -7.925853690894050751e-234
-1.093132382284446606e+02 -2.437662682577833339e-230
-1.092632382284446635e+02 -7.043001186653166733e-227
-1.092132382284446663e+02 -1.911606546383265490e-223
-1.091632382284446692e+02 -4.874115895773902678e-220
-1.091132382284446720e+02 -1.167480912409063931e-216
-1.090632382284446749e+02 -2.627001501663312033e-213
-1.090132382284446777e+02 -5.552997118479145210e-210
-1.089632382284446805e+02 -1.102684246485365123e-206
-1.089132382284446834e+02 -2.056986715352902380e-203
-1.088632382284446862e+02 -3.604693958105831481e-200
-1.088132382284446891e+02 -5.934196255770356661e-197
-1.087632382284446919e+02 -9.177238252705702950e-194
-1.087132382284446948e+02 -1.333271829430738369e-190
-1.086632382284446976e+02 -1.819625415921356523e-187
-1.086132382284447004e+02 -2.332930926621684790e-184
-1.085632382284447033e+02 -2.809819106920306019e-181
-1.085132382284447061e+02 -3.179153058548365358e-178
-1.084632382284447090e+02 -3.379100495705029462e-175
-1.084132382284447118e+02 -3.374017833120119863e-172
-1.083632382284447147e+02 -3.164828888850723355e-169
-1.083132382284447175e+02 -2.788750682777669190e-166
-1.082632382284447203e+02 -2.308477999291086120e-163
-1.082132382284447232e+02 -1.795140251865142890e-160
-1.081632382284447260e+02 -1.311377189446315198e-157
-1.081132382284447289e+02 -8.999398022046382828e-155
-1.080632382284447317e+02 -5.801708305852115901e-152
-1.080132382284447345e+02 -3.513621003665130766e-149
-1.079632382284447374e+02 -1.998989597616952711e-146
-1.079132382284447402e+02 -1.068372617766190809e-143
-1.078632382284447431e+02 -5.364034444072255582e-141
-1.078132382284447459e+02 -2.529979266778990035e-138
-1.077632382284447488e+02 -1.120982831662224798e-135
-1.077132382284447516e+02 -4.665922867859423278e-133
-1.076632382284447544e+02 -1.824453269512208772e-130
-1.076132382284447573e+02 -6.701692978349765000e-128
-1.075632382284447601e+02 -2.312559451500349358e-125
-1.075132382284447630e+02 -7.496488514540877554e-123
-1.074632382284447658e+02 -2.282860892627799217e-120
-1.074132382284447687e+02 -6.530668083095409642e-118
-1.073632382284447715e+02 -1.755061622589114099e-115
-1.073132382284447743e+02 -4.430816076027995990e-113
-1.072632382284447772e+02 -1.050828083096742384e-110
-1.072132382284447800e+02 -2.341187590485175889e-108
-1.071632382284447829e+02 -4.900014341450503949e-106
-1.071132382284447857e+02 -9.634187265028487523e-104
-1.070632382284447885e+02 -1.779464839205751787e-101
-1.070132382284447914e+02 -3.087595031701411084e-99
-1.069632382284447942e+02 -5.032778891054159656e-97
-1.069132382284447971e+02 -7.706407371484891511e-95
-1.068632382284447999e+02 -1.108543320965005498e-92
-1.068132382284448028e+02 -1.497993646898264059e-90
-1.067632382284448056e+02 -1.901620577282446347e-88
-1.067132382284448084e+02 -2.267745740126173565e-86
-1.066632382284448113e+02 -2.540513144612923632e-84
-1.066132382284448141e+02 -2.673653529260609139e-82
-1.065632382284448170e+02 -2.643293596688445197e-80
-1.065132382284448198e+02 -2.454947873174805554e-78
-1.064632382284448227e+02 -2.141882985916654629e-76
-1.064132382284448255e+02 -1.755520082148071477e-74
-1.063632382284448283e+02 -1.351675548812899807e-72
-1.063132382284448312e+02 -9.776776975628042829e-71
-1.062632382284448340e+02 -6.643172869493451878e-69
-1.062132382284448369e+02 -4.240450464215613587e-67
-1.061632382284448397e+02 -2.542758001153832212e-65
-1.061132382284448425e+02 -1.432368163891084342e-63
-1.060632382284448454e+02 -7.579854772646882668e-62
-1.060132382284448482e+02 -3.768111148169084663e-60
-1.059632382284448511e+02 -1.759718174691921057e-58
-1.059132382284448539e+02 -7.720032510386578467e-57
-1.058632382284448568e+02 -3.181645097329484152e-55
-1.058132382284448596e+02 -1.231802080474938318e-53
-1.057632382284448624e+02 -4.480089886812653322e-52
-1.057132382284448653e+02 -1.530696597475471919e-50
-1.056632382284448681e+02 -4.913015122614911031e-49
-1.056132382284448710e+02 -1.481370459219885866e-47
-1.055632382284448738e+02 -4.196003615889531375e-46
-1.055132382284448767e+02 -1.116515155467068419e-44
-1.054632382284448795e+02 -2.790936697330734909e-43
-1.054132382284448823e+02 -6.553781296843062691e-42
-1.053632382284448852e+02 -1.445741002053762853e-40
-1.053132382284448880e+02 -2.996026471770320492e-39
-1.052632382284448909e+02 -5.832535481611132983e-38
