# Energy(eV) COHP
-1.134226122405442823e+02 0.000000000000000000e+00
-1.133726122405442851e+02 0.000000000000000000e+00
-1.133226122405442879e+02 0.000000000000000000e+00
-1.132726122405442908e+02 0.000000000000000000e+00
-1.132226122405442936e+02 0.000000000000000000e+00
-1.131726122405442965e+02 0.000000000000000000e+00
-1.131226122405442993e+02 0.000000000000000000e+00
-1.130726122405443022e+02 0.000000000000000000e+00
-1.130226122405443050e+02 0.000000000000000000e+00
-1.129726122405443078e+02 0.000000000000000000e+00
-1.129226122405443107e+02 0.000000000000000000e+00
-1.128726122405443135e+02 0.000000000000000000e+00
-1.128226122405443164e+02 0.000000000000000000e+00
-1.127726122405443192e+02 0.000000000000000000e+00
-1.127226122405443220e+02 0.000000000000000000e+00
-1.126726122405443249e+02 0.000000000000000000e+00
-1.126226122405443277e+02 0.000000000000000000e+00
-1.125726122405443306e+02 0.000000000000000000e+00
-1.125226122405443334e+02 0.000000000000000000e+00
-1.124726122405443363e+02 0.000000000000000000e+00
-1.124226122405443391e+02 0.000000000000000000e+00
-1.123726122405443419e+02 0.000000000000000000e+00
-1.123226122405443448e+02 0.000000000000000000e+00
-1.122726122405443476e+02 0.000000000000000000e+00
-1.122226122405443505e+02 0.000000000000000000e+00
-1.121726122405443533e+02 0.000000000000000000e+00
-1.121226122405443562e+02 0.000000000000000000e+00
-1.120726122405443590e+02 0.000000000000000000e+00
-1.120226122405443618e+02 0.000000000000000000e+00
-1.119726122405443647e+02 0.000000000000000000e+00
-1.119226122405443675e+02 0.000000000000000000e+00
-1.118726122405443704e+02 0.000000000000000000e+00
-1.118226122405443732e+02 0.000000000000000000e+00
-1.117726122405443760e+02 0.000000000000000000e+00
-1.117226122405443789e+02 0.000000000000000000e+00
-1.116726122405443817e+02 0.000000000000000000e+00
-1.116226122405443846e+02 0.000000000000000000e+00
-1.115726122405443874e+02 0.000000000000000000e+00
-1.115226122405443903e+02 0.000000000000000000e+00
-1.114726122405443931e+02 0.000000000000000000e+00
-1.114226122405443959e+02 0.000000000000000000e+00
-1.113726122405443988e+02 0.000000000000000000e+00
-1.113226122405444016e+02 0.000000000000000000e+00
-1.112726122405444045e+02 0.000000000000000000e+00
-1.112226122405444073e+02 0.000000000000000000e+00
-1.111726122405444102e+02 0.000000000000000000e+00
-1.111226122405444130e+02 0.000000000000000000e+00
-1.110726122405444158e+02 0.000000000000000000e+00
-1.110226122405444187e+02 0.000000000000000000e+00
-1.109726122405444215e+02 0.000000000000000000e+00
-1.109226122405444244e+02 0.000000000000000000e+00
-1.108726122405444272e+02 0.000000000000000000e+00
-1.108226122405444301e+02 0.000000000000000000e+00
-1.107726122405444329e+02 0.000000000000000000e+00
-1.107226122405444357e+02 -2.050372430241173158e-321
-1.106726122405444386e+02 -2.657046506213848297e-317
-1.106226122405444414e+02 -3.232076688428702986e-313
-1.105726122405444443e+02 -3.693352614346479257e-309
-1.105226122405444471e+02 -3.964756201521940490e-305
-1.104726122405444499e+02 -3.998239447138655412e-301
-1.104226122405444528e+02 -3.787718636628547032e-297
-1.103726122405444556e+02 -3.370879444571760840e-293
-1.103226122405444585e+02 -2.818157945973346958e-289
-1.102726122405444613e+02 -2.213319132890063826e-285
-1.102226122405444642e+02 -1.632974286959804753e-281
-1.101726122405444670e+02 -1.131804077834997488e-277
-1.101226122405444698e+02 -7.369190144992400360e-274
-1.100726122405444727e+02 -4.507387246694049000e-270
-1.100226122405444755e+02 -2.589921384127522534e-266
-1.099726122405444784e+02 -1.397992665075971616e-262
-1.099226122405444812e+02 -7.088915603037142931e-259
-1.098726122405444841e+02 -3.376846513568148287e-255
-1.098226122405444869e+02 -1.511121690286567267e-251
-1.097726122405444897e+02 -6.352492496426206737e-248
-1.097226122405444926e+02 -2.508681261399789494e-244
-1.096726122405444954e+02 -9.306865021672617898e-241
-1.096226122405444983e+02 -3.243530228822965004e-237
-1.095726122405445011e+02 -1.061913372546053442e-233
-1.095226122405445039e+02 -3.266004931929631390e-230
-1.094726122405445068e+02 -9.436288050880975002e-227
-1.094226122405445096e+02 -2.561192084067956744e-223
-1.093726122405445125e+02 -6.530399056911258195e-220
-1.093226122405445153e+02 -1.564205829995692785e-216
-1.092726122405445182e+02 -3.519692236074806054e-213
-1.092226122405445210e+02 -7.439985542762473979e-210
-1.091726122405445238e+02 -1.477393233698068517e-206
-1.091226122405445267e+02 -2.755984263319456201e-203
-1.090726122405445295e+02 -4.829631285135162799e-200
-1.090226122405445324e+02 -7.950745187293338617e-197
-1.089726122405445352e+02 -1.229584306546324705e-193
-1.089226122405445381e+02 -1.786345281314744175e-190
-1.088726122405445409e+02 -2.437974300855692566e-187
-1.088226122405445437e+02 -3.125715611303705522e-184
-1.087726122405445466e+02 -3.764665762580529905e-181
-1.087226122405445494e+02 -4.259513635895267145e-178
-1.086726122405445523e+02 -4.527414206894634904e-175
-1.086226122405445551e+02 -4.520610358403584982e-172
-1.085726122405445579e+02 -4.240338769594100356e-169
-1.085226122405445608e+02 -3.736462847205994033e-166
-1.084726122405445636e+02 -3.092982189821304478e-163
-1.084226122405445665e+02 -2.405197868180793053e-160
-1.083726122405445693e+02 -1.757036745891116349e-157
-1.083226122405445722e+02 -1.205778468156381676e-154
-1.082726122405445750e+02 -7.773397096215525234e-152
-1.082226122405445778e+02 -4.707722294056180109e-149
-1.081726122405445807e+02 -2.678350901960750368e-146
-1.081226122405445835e+02 -1.431465135115157185e-143
-1.080726122405445864e+02 -7.187051208663854091e-141
-1.080226122405445892e+02 -3.389825740387419305e-138
-1.079726122405445921e+02 -1.501968004329939285e-135
-1.079226122405445949e+02 -6.251736551878467682e-133
-1.078726122405445977e+02 -2.444541084375012045e-130
-1.078226122405446006e+02 -8.979469989035876846e-128
-1.077726122405446034e+02 -3.098566082101131464e-125
-1.077226122405446063e+02 -1.004448154708123949e-122
-1.076726122405446091e+02 -3.058799412628593062e-120
-1.076226122405446120e+02 -8.750466141086764652e-118
-1.075726122405446148e+02 -2.351625196997319466e-115
-1.075226122405446176e+02 -5.936927631856790988e-113
-1.074726122405446205e+02 -1.408030778942550155e-110
-1.074226122405446233e+02 -3.137034494999454245e-108
-1.073726122405446262e+02 -6.565732772882858831e-106
-1.073226122405446290e+02 -1.290933541733666747e-103
-1.072726122405446318e+02 -2.384412293531671697e-101
-1.072226122405446347e+02 -4.137286698586391096e-99
-1.071726122405446375e+02 -6.743831211661367223e-97
-1.071226122405446404e+02 -1.032653428734443594e-94
-1.070726122405446432e+02 -1.485454418338388387e-92
-1.070226122405446461e+02 -2.007339928052682484e-90
-1.069726122405446489e+02 -2.548234482574342585e-88
-1.069226122405446517e+02 -3.038888339900903965e-86
-1.068726122405446546e+02 -3.404450357100480619e-84
-1.068226122405446574e+02 -3.582912461495265953e-82
-1.067726122405446603e+02 -3.542275533964366196e-80
-1.067226122405446631e+02 -3.289920888373615745e-78
-1.066726122405446660e+02 -2.870420794494784088e-76
-1.066226122405446688e+02 -2.352679151985578854e-74
-1.065726122405446716e+02 -1.811493966281495985e-72
-1.065226122405446745e+02 -1.310292214109142476e-70
-1.064726122405446773e+02 -8.903413448102052974e-69
-1.064226122405446802e+02 -5.683319449061067964e-67
-1.063726122405446830e+02 -3.408040721608579387e-65
-1.063226122405446858e+02 -1.919838525269723201e-63
-1.062726122405446887e+02 -1.015972351135791902e-61
-1.062226122405446915e+02 -5.050755887760104826e-60
-1.061726122405446944e+02 -2.358784239420345176e-58
-1.061226122405446972e+02 -1.034850118709427408e-56
-1.060726122405447001e+02 -4.265050135910373083e-55
-1.060226122405447029e+02 -1.651308946564867185e-53
-1.059726122405447057e+02 -6.006065900134594931e-52
