# Energy(eV) COHP
-1.132132382284444390e+02 0.000000000000000000e+00
-1.131632382284444418e+02 0.000000000000000000e+00
-1.131132382284444446e+02 0.000000000000000000e+00
-1.130632382284444475e+02 0.000000000000000000e+00
-1.130132382284444503e+02 0.000000000000000000e+00
-1.129632382284444532e+02 0.000000000000000000e+00
-1.129132382284444560e+02 0.000000000000000000e+00
-1.128632382284444589e+02 0.000000000000000000e+00
-1.128132382284444617e+02 0.000000000000000000e+00
-1.127632382284444645e+02 0.000000000000000000e+00
-1.127132382284444674e+02 0.000000000000000000e+00
-1.126632382284444702e+02 0.000000000000000000e+00
-1.126132382284444731e+02 0.000000000000000000e+00
-1.125632382284444759e+02 0.000000000000000000e+00
-1.125132382284444788e+02 0.000000000000000000e+00
-1.124632382284444816e+02 0.000000000000000000e+00
-1.124132382284444844e+02 0.000000000000000000e+00
-1.123632382284444873e+02 0.000000000000000000e+00
-1.123132382284444901e+02 0.000000000000000000e+00
-1.122632382284444930e+02 0.000000000000000000e+00
-1.122132382284444958e+02 0.000000000000000000e+00
-1.121632382284444986e+02 0.000000000000000000e+00
-1.121132382284445015e+02 0.000000000000000000e+00
-1.120632382284445043e+02 0.000000000000000000e+00
-1.120132382284445072e+02 0.000000000000000000e+00
-1.119632382284445100e+02 0.000000000000000000e+00
-1.119132382284445129e+02 0.000000000000000000e+00
-1.118632382284445157e+02 0.000000000000000000e+00
-1.118132382284445185e+02 0.000000000000000000e+00
-1.117632382284445214e+02 0.000000000000000000e+00
-1.117132382284445242e+02 0.000000000000000000e+00
-1.116632382284445271e+02 0.000000000000000000e+00
-1.116132382284445299e+02 0.000000000000000000e+00
-1.115632382284445328e+02 0.000000000000000000e+00
-1.115132382284445356e+02 0.000000000000000000e+00
-1.114632382284445384e+02 0.000000000000000000e+00
-1.114132382284445413e+02 0.000000000000000000e+00
-1.113632382284445441e+02 0.000000000000000000e+00
-1.113132382284445470e+02 0.000000000000000000e+00
-1.112632382284445498e+02 0.000000000000000000e+00
-1.112132382284445526e+02 0.000000000000000000e+00
-1.111632382284445555e+02 0.000000000000000000e+00
-1.111132382284445583e+02 0.000000000000000000e+00
-1.110632382284445612e+02 0.000000000000000000e+00
-1.110132382284445640e+02 0.000000000000000000e+00
-1.109632382284445669e+02 0.000000000000000000e+00
-1.109132382284445697e+02 0.000000000000000000e+00
-1.108632382284445725e+02 0.000000000000000000e+00
-1.108132382284445754e+02 0.000000000000000000e+00
-1.107632382284445782e+02 0.000000000000000000e+00
-1.107132382284445811e+02 0.000000000000000000e+00
-1.106632382284445839e+02 0.000000000000000000e+00
-1.106132382284445868e+02 0.000000000000000000e+00
-1.105632382284445896e+02 0.000000000000000000e+00
-1.105132382284445924e+02 -1.737134810777822849e-320
-1.104632382284445953e+02 -2.249148082896156852e-316
-1.104132382284445981e+02 -2.735901912466499528e-312
-1.103632382284446010e+02 -3.126364339133169341e-308
-1.103132382284446038e+02 -3.356102748371411655e-304
-1.102632382284446066e+02 -3.384445332348884654e-300
-1.102132382284446095e+02 -3.206242403009249514e-296
-1.101632382284446123e+02 -2.853394358338500643e-292
-1.101132382284446152e+02 -2.385524262027112871e-288
-1.100632382284446180e+02 -1.873537855047555472e-284
-1.100132382284446209e+02 -1.382285339549376422e-280
-1.099632382284446237e+02 -9.580529804240409751e-277
-1.099132382284446265e+02 -6.237893352617290065e-273
-1.098632382284446294e+02 -3.815425338676900502e-269
-1.098132382284446322e+02 -2.192323143452225942e-265
-1.097632382284446351e+02 -1.183376041648208732e-261
-1.097132382284446379e+02 -6.000639979071153665e-258
-1.096632382284446408e+02 -2.858439237567019479e-254
-1.096132382284446436e+02 -1.279136681456958866e-250
-1.095632382284446464e+02 -5.377266200101604849e-247
-1.095132382284446493e+02 -2.123551094217687156e-243
-1.094632382284446521e+02 -7.878081839233137412e-240
-1.094132382284446550e+02 -2.745584763423685989e-236
-1.093632382284446578e+02 -8.988884890025303056e-233
-1.093132382284446606e+02 -2.764606830880161440e-229
-1.092632382284446635e+02 -7.987622458874280109e-226
-1.092132382284446663e+02 -2.167995003516105639e-222
-1.091632382284446692e+02 -5.527841975948966793e-219
-1.091132382284446720e+02 -1.324065765307233015e-215
-1.090632382284446749e+02 -2.979340147485291871e-212
-1.090132382284446777e+02 -6.297776093192139470e-209
-1.089632382284446805e+02 -1.250578442179539447e-205
-1.089132382284446834e+02 -2.332873848764267900e-202
-1.088632382284446862e+02 -4.088162653117052745e-199
-1.088132382284446891e+02 -6.730102413980068979e-196
-1.087632382284446919e+02 -1.040810762841663341e-192
-1.087132382284446948e+02 -1.512092888572419237e-189
-1.086632382284446976e+02 -2.063677181610509398e-186
-1.086132382284447004e+02 -2.645828244328452484e-183
-1.085632382284447033e+02 -3.186677612143920403e-180
-1.085132382284447061e+02 -3.605547365061136459e-177
-1.084632382284447090e+02 -3.832312148610160233e-174
-1.084132382284447118e+02 -3.826547789249971681e-171
-1.083632382284447147e+02 -3.589302009345673415e-168
-1.083132382284447175e+02 -3.162783449216086434e-165
-1.082632382284447203e+02 -2.618095641939962807e-162
-1.082132382284447232e+02 -2.035908018842900697e-159
-1.081632382284447260e+02 -1.487261696097262173e-156
-1.081132382284447289e+02 -1.020641511369752258e-153
-1.080632382284447317e+02 -6.579844917743575718e-151
-1.080132382284447345e+02 -3.984874813599840043e-148
-1.079632382284447374e+02 -2.267098042698020842e-145
-1.079132382284447402e+02 -1.211664869840916920e-142
-1.078632382284447431e+02 -6.083469370535079427e-140
-1.078132382284447459e+02 -2.869305098245089377e-137
-1.077632382284447488e+02 -1.271331269852107943e-134
-1.077132382284447516e+02 -5.291725686674140451e-132
-1.076632382284447544e+02 -2.069152556489549380e-129
-1.076132382284447573e+02 -7.600537317498930621e-127
-1.075632382284447601e+02 -2.622724506605400640e-124
-1.075132382284447630e+02 -8.501932405593468238e-122
-1.074632382284447658e+02 -2.589042718180300383e-119
-1.074132382284447687e+02 -7.406574224471330385e-117
-1.073632382284447715e+02 -1.990453964407588243e-114
-1.073132382284447743e+02 -5.025085906146290411e-112
-1.072632382284447772e+02 -1.191767227423682225e-109
-1.072132382284447800e+02 -2.655192308306799824e-107
-1.071632382284447829e+02 -5.557213972467776943e-105
-1.071132382284447857e+02 -1.092634354754535600e-102
-1.070632382284447885e+02 -2.018130188782676765e-100
-1.070132382284447914e+02 -3.501709394265553301e-98
-1.069632382284447942e+02 -5.707785166487470732e-96
-1.069132382284447971e+02 -8.740005995506351840e-94
-1.068632382284447999e+02 -1.257223347335949440e-91
-1.068132382284448028e+02 -1.698907522533234432e-89
-1.067632382284448056e+02 -2.156669696456029473e-87
-1.067132382284448084e+02 -2.571900291480146758e-85
-1.066632382284448113e+02 -2.881251800643040996e-83
-1.066132382284448141e+02 -3.032249237447445979e-81
-1.065632382284448170e+02 -2.997817370571876228e-79
-1.065132382284448198e+02 -2.784210345484126468e-77
-1.064632382284448227e+02 -2.429156575326172307e-75
-1.064132382284448255e+02 -1.990973913470858665e-73
-1.063632382284448283e+02 -1.532964951258188628e-71
-1.063132382284448312e+02 -1.108805767261859544e-69
-1.062632382284448340e+02 -7.534168375707146688e-68
-1.062132382284448369e+02 -4.809188081339519086e-66
-1.061632382284448397e+02 -2.883797741790558531e-64
-1.061132382284448425e+02 -1.624480219732833257e-62
-1.060632382284448454e+02 -8.596479911395647188e-61
-1.060132382284448482e+02 -4.273497680461505799e-59
-1.059632382284448511e+02 -1.995735062503637327e-57
-1.059132382284448539e+02 -8.755458565030647754e-56
-1.058632382284448568e+02 -3.608373641020624444e-54
-1.058132382284448596e+02 -1.397013815862392823e-52
-1.057632382284448624e+02 -5.080968418050990945e-51
-1.057132382284448653e+02 -1.735996657630506191e-49
-1.056632382284448681e+02 -5.571958444158175176e-48
-1.056132382284448710e+02 -1.680054799990836809e-46
-1.055632382284448738e+02 -4.758779933661263342e-45
-1.055132382284448767e+02 -1.266264380074668914e-43
-1.054632382284448795e+02 -3.165262656371924139e-42
-1.054132382284448823e+02 -7.432787428237524221e-41
-1.053632382284448852e+02 -1.639646649443339805e-39
-1.053132382284448880e+02 -3.397859477668311476e-38
-1.052632382284448909e+02 -6.614806695389666310e-37
