# Energy(eV) COHP
-1.134108724928247511e+02 0.000000000000000000e+00
-1.133608724928247540e+02 0.000000000000000000e+00
-1.133108724928247568e+02 0.000000000000000000e+00
-1.132608724928247597e+02 0.000000000000000000e+00
-1.132108724928247625e+02 0.000000000000000000e+00
-1.131608724928247653e+02 0.000000000000000000e+00
-1.131108724928247682e+02 0.000000000000000000e+00
-1.130608724928247710e+02 0.000000000000000000e+00
-1.130108724928247739e+02 0.000000000000000000e+00
-1.129608724928247767e+02 0.000000000000000000e+00
-1.129108724928247796e+02 0.000000000000000000e+00
-1.128608724928247824e+02 0.000000000000000000e+00
-1.128108724928247852e+02 0.000000000000000000e+00
-1.127608724928247881e+02 0.000000000000000000e+00
-1.127108724928247909e+02 0.000000000000000000e+00
-1.126608724928247938e+02 0.000000000000000000e+00
-1.126108724928247966e+02 0.000000000000000000e+00
-1.125608724928247995e+02 0.000000000000000000e+00
-1.125108724928248023e+02 0.000000000000000000e+00
-1.124608724928248051e+02 0.000000000000000000e+00
-1.124108724928248080e+02 0.000000000000000000e+00
-1.123608724928248108e+02 0.000000000000000000e+00
-1.123108724928248137e+02 0.000000000000000000e+00
-1.122608724928248165e+02 0.000000000000000000e+00
-1.122108724928248193e+02 0.000000000000000000e+00
-1.121608724928248222e+02 0.000000000000000000e+00
-1.121108724928248250e+02 0.000000000000000000e+00
-1.120608724928248279e+02 0.000000000000000000e+00
-1.120108724928248307e+02 0.000000000000000000e+00
-1.119608724928248336e+02 0.000000000000000000e+00
-1.119108724928248364e+02 0.000000000000000000e+00
-1.118608724928248392e+02 0.000000000000000000e+00
-1.118108724928248421e+02 0.000000000000000000e+00
-1.117608724928248449e+02 0.000000000000000000e+00
-1.117108724928248478e+02 0.000000000000000000e+00
-1.116608724928248506e+02 0.000000000000000000e+00
-1.116108724928248535e+02 0.000000000000000000e+00
-1.115608724928248563e+02 0.000000000000000000e+00
-1.115108724928248591e+02 0.000000000000000000e+00
-1.114608724928248620e+02 0.000000000000000000e+00
-1.114108724928248648e+02 0.000000000000000000e+00
-1.113608724928248677e+02 0.000000000000000000e+00
-1.113108724928248705e+02 0.000000000000000000e+00
-1.112608724928248733e+02 0.000000000000000000e+00
-1.112108724928248762e+02 0.000000000000000000e+00
-1.111608724928248790e+02 0.000000000000000000e+00
-1.111108724928248819e+02 0.000000000000000000e+00
-1.110608724928248847e+02 0.000000000000000000e+00
-1.110108724928248876e+02 0.000000000000000000e+00
-1.109608724928248904e+02 0.000000000000000000e+00
-1.109108724928248932e+02 0.000000000000000000e+00
-1.108608724928248961e+02 0.000000000000000000e+00
-1.108108724928248989e+02 0.000000000000000000e+00
-1.107608724928249018e+02 0.000000000000000000e+00
-1.107108724928249046e+02 -2.465387572747820255e-321
-1.106608724928249075e+02 -3.190426931757266194e-317
-1.106108724928249103e+02 -3.880889475313110549e-313
-1.105608724928249131e+02 -4.434762227560799324e-309
-1.105108724928249160e+02 -4.760647220156431720e-305
-1.104608724928249188e+02 -4.800851306187434851e-301
-1.104108724928249217e+02 -4.548069629405892786e-297
-1.103608724928249245e+02 -4.047553051415373886e-293
-1.103108724928249273e+02 -3.383877162922393462e-289
-1.102608724928249302e+02 -2.657622084370974963e-285
-1.102108724928249330e+02 -1.960778126468871950e-281
-1.101608724928249359e+02 -1.359002569343727942e-277
-1.101108724928249387e+02 -8.848480477297759795e-274
-1.100608724928249416e+02 -5.412198431976149397e-270
-1.100108724928249444e+02 -3.109820485569182477e-266
-1.099608724928249472e+02 -1.678624370426696642e-262
-1.099108724928249501e+02 -8.511935473187488191e-259
-1.098608724928249529e+02 -4.054709235857857807e-255
-1.098108724928249558e+02 -1.814461279450757177e-251
-1.097608724928249586e+02 -7.627676893973878676e-248
-1.097108724928249615e+02 -3.012267016691704293e-244
-1.096608724928249643e+02 -1.117509540681069362e-240
-1.096108724928249671e+02 -3.894624644027828158e-237
-1.095608724928249700e+02 -1.275077465514751621e-233
-1.095108724928249728e+02 -3.921607534406331493e-230
-1.094608724928249757e+02 -1.133047928075253818e-226
-1.094108724928249785e+02 -3.075310906917375765e-223
-1.093608724928249814e+02 -7.841269326165799636e-220
-1.093108724928249842e+02 -1.878193392014884465e-216
-1.092608724928249870e+02 -4.226207733928605645e-213
-1.092108724928249899e+02 -8.933424420861866526e-210
-1.091608724928249927e+02 -1.773951285382613196e-206
-1.091108724928249956e+02 -3.309192308991303118e-203
-1.090608724928249984e+02 -5.799077569825104644e-200
-1.090108724928250012e+02 -9.546681299918461297e-197
-1.089608724928250041e+02 -1.476394865215464601e-193
-1.089108724928250069e+02 -2.144910733169231508e-190
-1.088608724928250098e+02 -2.927335595640436491e-187
-1.088108724928250126e+02 -3.753119561814937919e-184
-1.087608724928250155e+02 -4.520316883369982295e-181
-1.087108724928250183e+02 -5.114485558867361920e-178
-1.086608724928250211e+02 -5.436152449714460031e-175
-1.086108724928250240e+02 -5.427975679388408519e-172
-1.085608724928250268e+02 -5.091441446894091138e-169
-1.085108724928250297e+02 -4.486422903105059037e-166
-1.084608724928250325e+02 -3.713780737479916037e-163
-1.084108724928250354e+02 -2.887944910239091272e-160
-1.083608724928250382e+02 -2.109687572171735266e-157
-1.083108724928250410e+02 -1.447784689022562194e-154
-1.082608724928250439e+02 -9.333540348821822249e-152
-1.082108724928250467e+02 -5.652563293314293583e-149
-1.081608724928250496e+02 -3.215889024860689899e-146
-1.081108724928250524e+02 -1.718752203629196518e-143
-1.080608724928250552e+02 -8.629429346821523170e-141
-1.080108724928250581e+02 -4.070122509321181545e-138
-1.079608724928250609e+02 -1.803389267106426743e-135
-1.079108724928250638e+02 -7.506337281336327092e-133
-1.078608724928250666e+02 -2.935102440147764041e-130
-1.078108724928250695e+02 -1.078139722325395587e-127
-1.077608724928250723e+02 -3.720346803346848246e-125
-1.077108724928250751e+02 -1.206003031113611436e-122
-1.076608724928250780e+02 -3.672569031193221467e-120
-1.076108724928250808e+02 -1.050625968162688278e-117
-1.075608724928250837e+02 -2.823468124479981096e-115
-1.075108724928250865e+02 -7.128107523451532590e-113
-1.074608724928250894e+02 -1.690527306132468838e-110
-1.074108724928250922e+02 -3.766402529736446881e-108
-1.073608724928250950e+02 -7.882933638632285514e-106
-1.073108724928250979e+02 -1.549906869249988184e-103
-1.072608724928251007e+02 -2.862726976343104875e-101
-1.072108724928251036e+02 -4.967190918602120471e-99
-1.071608724928251064e+02 -8.096519571480606334e-97
-1.071108724928251092e+02 -1.239773879594399463e-94
-1.070608724928251121e+02 -1.783377113979950452e-92
-1.070108724928251149e+02 -2.409908152655847840e-90
-1.069608724928251178e+02 -3.059245906643281762e-88
-1.069108724928251206e+02 -3.648252419892935352e-86
-1.068608724928251235e+02 -4.087068961747240582e-84
-1.068108724928251263e+02 -4.301259521950800600e-82
-1.067608724928251291e+02 -4.252417760057609718e-80
-1.067108724928251320e+02 -3.949415210245252239e-78
-1.066608724928251348e+02 -3.445769800483100523e-76
-1.066108724928251377e+02 -2.824205674625065580e-74
-1.065608724928251405e+02 -2.174517850311046258e-72
-1.065108724928251434e+02 -1.572846092443845116e-70
-1.064608724928251462e+02 -1.068725257338421642e-68
-1.064108724928251490e+02 -6.821855463697195530e-67
-1.063608724928251519e+02 -4.090680391019080685e-65
-1.063108724928251547e+02 -2.304332680539013909e-63
-1.062608724928251576e+02 -1.219414638409135164e-61
-1.062108724928251604e+02 -6.061976160586412435e-60
-1.061608724928251632e+02 -2.830959386530103392e-58
-1.061108724928251661e+02 -1.241965833740183444e-56
-1.060608724928251689e+02 -5.118494644555913311e-55
-1.060108724928251718e+02 -1.981670538135819203e-53
-1.059608724928251746e+02 -7.207377124835069771e-52
-1.059108724928251775e+02 -2.462519262084490688e-50
-1.058608724928251803e+02 -7.903848741158091808e-49
-1.058108724928251831e+02 -2.383165479459777423e-47
-1.057608724928251860e+02 -6.750351276457785552e-46
-1.057108724928251888e+02 -1.796201861622615231e-44
-1.056608724928251917e+02 -4.489939673609582129e-43
-1.056108724928251945e+02 -1.054344324474318645e-41
-1.055608724928251974e+02 -2.325846335073878060e-40
-1.055108724928252002e+02 -4.819879345493543933e-39
-1.054608724928252030e+02 -9.383133826531245998e-38
-1.054108724928252059e+02 -1.715995913365420432e-36
-1.053608724928252087e+02 -2.948093024793366116e-35
-1.053108724928252116e+02 -4.757981100182779966e-34
-1.052608724928252144e+02 -7.213745851045891402e-33
-1.052108724928252173e+02 -1.027437844446680520e-31
-1.051608724928252201e+02 -1.374696654192433834e-30
-1.051108724928252229e+02 -1.727884823033613591e-29
-1.050608724928252258e+02 -2.040230813601847616e-28
-1.050108724928252286e+02 -2.263082646332961881e-27
-1.049608724928252315e+02 -2.358186387268225660e-26
-1.049108724928252343e+02 -2.308407339654984918e-25
-1.048608724928252371e+02 -2.122772115925731689e-24
-1.048108724928252400e+02 -1.833795564248992352e-23
-1.047608724928252428e+02 -1.488178709463928042e-22
-1.047108724928252457e+02 -1.134529768620989529e-21
-1.046608724928252485e+02 -8.125186987065154134e-21
-1.046108724928252514e+02 -5.466476967396510679e-20
-1.045608724928252542e+02 -3.454923328143190604e-19
-1.045108724928252570e+02 -2.051285459896759983e-18
-1.044608724928252599e+02 -1.144117630422790106e-17
-1.044108724928252627e+02 -5.994766580578383950e-17
-1.043608724928252656e+02 -2.950741038140626359e-16
-1.043108724928252684e+02 -1.364417943578641038e-15
-1.042608724928252713e+02 -5.926819104438228975e-15
-1.042108724928252741e+02 -2.418546584911207994e-14
-1.041608724928252769e+02 -9.271428815352889314e-14
-1.041108724928252798e+02 -3.338870749871230958e-13
-1.040608724928252826e+02 -1.129575271444138983e-12
-1.040108724928252855e+02 -3.590014083583849406e-12
-1.039608724928252883e+02 -1.071881054494231033e-11
-1.039108724928252911e+02 -3.006577732545459110e-11
-1.038608724928252940e+02 -7.922866725270345114e-11
-1.038108724928252968e+02 -1.961503177367014885e-10
-1.037608724928252997e+02 -4.562585034140334214e-10
-1.037108724928253025e+02 -9.971840426520825633e-10
-1.036608724928253054e+02 -2.047960963879375499e-09
-1.036108724928253082e+02 -3.952827838216819231e-09
-1.035608724928253110e+02 -7.171639340013422471e-09
-1.035108724928253139e+02 -1.223422135000806086e-08
-1.034608724928253167e+02 -1.963181168659482802e-08
-1.034108724928253196e+02 -2.965032091448880515e-08
-1.033608724928253224e+02 -4.218478205481025153e-08
-1.033108724928253253e+02 -5.660707864345120250e-08
-1.032608724928253281e+02 -7.176650235079838086e-08
-1.032108724928253309e+02 -8.616704075177511190e-08
-1.031608724928253338e+02 -9.829134441729782934e-08
-1.031108724928253366e+02 -1.069630157957645620e-07
-1.030608724928253395e+02 -1.116042655384055276e-07
-1.030108724928253423e+02 -1.122855382231365979e-07
-1.029608724928253451e+02 -1.095635573465774621e-07
-1.029108724928253480e+02 -1.042082331279838599e-07
-1.028608724928253508e+02 -9.696335790349344119e-08
-1.028108724928253537e+02 -8.844415095816428790e-08
-1.027608724928253565e+02 -7.917645945494264447e-08
-1.027108724928253594e+02 -6.969359109190573555e-08
-1.026608724928253622e+02 -6.058283877050331060e-08
-1.026108724928253650e+02 -5.242338548822335793e-08
-1.025608724928253679e+02 -4.564089654806819327e-08
-1.025108724928253707e+02 -4.036511817370017534e-08
-1.024608724928253736e+02 -3.637962076002489257e-08
-1.024108724928253764e+02 -3.320171989354055007e-08
-1.023608724928253793e+02 -3.026090086167945386e-08
-1.023108724928253821e+02 -2.709658595722727280e-08
-1.022608724928253849e+02 -2.349332527453919228e-08
-1.022108724928253878e+02 -1.950860176333948593e-08
-1.021608724928253906e+02 -1.540070806326583345e-08
-1.021108724928253935e+02 -1.150365818737977343e-08
-1.020608724928253963e+02 -8.106821045820930780e-09
-1.020108724928253991e+02 -5.380532733406482575e-09
-1.019608724928254020e+02 -3.359760282592787284e-09
-1.019108724928254048e+02 -1.972570141297798969e-09
-1.018608724928254077e+02 -1.088529462132326901e-09
-1.018108724928254105e+02 -5.644670870121350971e-10
-1.017608724928254134e+02 -2.750255313722190920e-10
-1.017108724928254162e+02 -1.258957414902592117e-10
-1.016608724928254190e+02 -5.414191433133282928e-11
-1.016108724928254219e+02 -2.187406028650769786e-11
-1.015608724928254247e+02 -8.302171913155258966e-12
-1.015108724928254276e+02 -2.960169433010520014e-12
-1.014608724928254304e+02 -9.915202090006026457e-13
-1.014108724928254333e+02 -3.119933260305823939e-13
-1.013608724928254361e+02 -9.222462977782949019e-14
-1.013108724928254389e+02 -2.560978366232784839e-14
-1.012608724928254418e+02 -6.680699922702831407e-15
-1.012108724928254446e+02 -1.637174233399582034e-15
-1.011608724928254475e+02 -3.768986706692627523e-16
-1.011108724928254503e+02 -8.151002221162347804e-17
-1.010608724928254532e+02 -1.655976147918709736e-17
-1.010108724928254560e+02 -3.160485319329483363e-18
