# Energy(eV) COHP
-1.137203447179881124e+02 0.000000000000000000e+00
-1.136703447179881152e+02 0.000000000000000000e+00
-1.136203447179881181e+02 0.000000000000000000e+00
-1.135703447179881209e+02 0.000000000000000000e+00
-1.135203447179881238e+02 0.000000000000000000e+00
-1.134703447179881266e+02 0.000000000000000000e+00
-1.134203447179881294e+02 0.000000000000000000e+00
-1.133703447179881323e+02 0.000000000000000000e+00
-1.133203447179881351e+02 0.000000000000000000e+00
-1.132703447179881380e+02 0.000000000000000000e+00
-1.132203447179881408e+02 0.000000000000000000e+00
-1.131703447179881437e+02 0.000000000000000000e+00
-1.131203447179881465e+02 0.000000000000000000e+00
-1.130703447179881493e+02 0.000000000000000000e+00
-1.130203447179881522e+02 0.000000000000000000e+00
-1.129703447179881550e+02 0.000000000000000000e+00
-1.129203447179881579e+02 0.000000000000000000e+00
-1.128703447179881607e+02 0.000000000000000000e+00
-1.128203447179881636e+02 0.000000000000000000e+00
-1.127703447179881664e+02 0.000000000000000000e+00
-1.127203447179881692e+02 0.000000000000000000e+00
-1.126703447179881721e+02 0.000000000000000000e+00
-1.126203447179881749e+02 0.000000000000000000e+00
-1.125703447179881778e+02 0.000000000000000000e+00
-1.125203447179881806e+02 0.000000000000000000e+00
-1.124703447179881834e+02 0.000000000000000000e+00
-1.124203447179881863e+02 0.000000000000000000e+00
-1.123703447179881891e+02 0.000000000000000000e+00
-1.123203447179881920e+02 0.000000000000000000e+00
-1.122703447179881948e+02 0.000000000000000000e+00
-1.122203447179881977e+02 0.000000000000000000e+00
-1.121703447179882005e+02 0.000000000000000000e+00
-1.121203447179882033e+02 0.000000000000000000e+00
-1.120703447179882062e+02 0.000000000000000000e+00
-1.120203447179882090e+02 0.000000000000000000e+00
-1.119703447179882119e+02 0.000000000000000000e+00
-1.119203447179882147e+02 0.000000000000000000e+00
-1.118703447179882176e+02 0.000000000000000000e+00
-1.118203447179882204e+02 0.000000000000000000e+00
-1.117703447179882232e+02 0.000000000000000000e+00
-1.117203447179882261e+02 0.000000000000000000e+00
-1.116703447179882289e+02 0.000000000000000000e+00
-1.116203447179882318e+02 0.000000000000000000e+00
-1.115703447179882346e+02 0.000000000000000000e+00
-1.115203447179882374e+02 0.000000000000000000e+00
-1.114703447179882403e+02 0.000000000000000000e+00
-1.114203447179882431e+02 0.000000000000000000e+00
-1.113703447179882460e+02 0.000000000000000000e+00
-1.113203447179882488e+02 0.000000000000000000e+00
-1.112703447179882517e+02 0.000000000000000000e+00
-1.112203447179882545e+02 0.000000000000000000e+00
-1.111703447179882573e+02 0.000000000000000000e+00
-1.111203447179882602e+02 0.000000000000000000e+00
-1.110703447179882630e+02 0.000000000000000000e+00
-1.110203447179882659e+02 0.000000000000000000e+00
-1.109703447179882687e+02 1.956499957531336315e-321
-1.109203447179882716e+02 2.532627436818584704e-317
-1.108703447179882744e+02 3.080653551486318940e-313
-1.108203447179882772e+02 3.520224041228591330e-309
-1.107703447179882801e+02 3.778797276629087532e-305
-1.107203447179882829e+02 3.810594000856226871e-301
-1.106703447179882858e+02 3.609836319730777242e-297
-1.106203447179882886e+02 3.212462237473496803e-293
-1.105703447179882914e+02 2.685617660072213054e-289
-1.105203447179882943e+02 2.109142420295675788e-285
-1.104703447179882971e+02 1.556048511463521875e-281
-1.104203447179883000e+02 1.078439512169096855e-277
-1.103703447179883028e+02 7.021401504676875399e-274
-1.103203447179883057e+02 4.294445570483014234e-270
-1.102703447179883085e+02 2.467434258451831623e-266
-1.102203447179883113e+02 1.331800520273795458e-262
-1.101703447179883142e+02 6.752860466297606468e-259
-1.101203447179883170e+02 3.216557171722108891e-255
-1.100703447179883199e+02 1.439294175547136696e-251
-1.100203447179883227e+02 6.050099794216904785e-248
-1.099703447179883256e+02 2.389076531072663098e-244
-1.099203447179883284e+02 8.862413459044786553e-241
-1.098703447179883312e+02 3.088362237811792156e-237
-1.098203447179883341e+02 1.011017309339483430e-233
-1.097703447179883369e+02 3.109158916782967585e-230
-1.097203447179883398e+02 8.982165482814877823e-227
-1.096703447179883426e+02 2.437658170246458357e-223
-1.096203447179883455e+02 6.214668774902706864e-220
-1.095703447179883483e+02 1.488388797791844148e-216
-1.095203447179883511e+02 3.348634937799463383e-213
-1.094703447179883540e+02 7.077371430748861453e-210
-1.094203447179883568e+02 1.405169447913113592e-206
