# Energy(eV) COHP
-1.134108724928247511e+02 0.000000000000000000e+00
-1.133608724928247540e+02 0.000000000000000000e+00
-1.133108724928247568e+02 0.000000000000000000e+00
-1.132608724928247597e+02 0.000000000000000000e+00
-1.132108724928247625e+02 0.000000000000000000e+00
-1.131608724928247653e+02 0.000000000000000000e+00
-1.131108724928247682e+02 0.000000000000000000e+00
-1.130608724928247710e+02 0.000000000000000000e+00
-1.130108724928247739e+02 0.000000000000000000e+00
-1.129608724928247767e+02 0.000000000000000000e+00
-1.129108724928247796e+02 0.000000000000000000e+00
-1.128608724928247824e+02 0.000000000000000000e+00
-1.128108724928247852e+02 0.000000000000000000e+00
-1.127608724928247881e+02 0.000000000000000000e+00
-1.127108724928247909e+02 0.000000000000000000e+00
-1.126608724928247938e+02 0.000000000000000000e+00
-1.126108724928247966e+02 0.000000000000000000e+00
-1.125608724928247995e+02 0.000000000000000000e+00
-1.125108724928248023e+02 0.000000000000000000e+00
-1.124608724928248051e+02 0.000000000000000000e+00
-1.124108724928248080e+02 0.000000000000000000e+00
-1.123608724928248108e+02 0.000000000000000000e+00
-1.123108724928248137e+02 0.000000000000000000e+00
-1.122608724928248165e+02 0.000000000000000000e+00
-1.122108724928248193e+02 0.000000000000000000e+00
-1.121608724928248222e+02 0.000000000000000000e+00
-1.121108724928248250e+02 0.000000000000000000e+00
-1.120608724928248279e+02 0.000000000000000000e+00
-1.120108724928248307e+02 0.000000000000000000e+00
-1.119608724928248336e+02 0.000000000000000000e+00
-1.119108724928248364e+02 0.000000000000000000e+00
-1.118608724928248392e+02 0.000000000000000000e+00
-1.118108724928248421e+02 0.000000000000000000e+00
-1.117608724928248449e+02 0.000000000000000000e+00
-1.117108724928248478e+02 0.000000000000000000e+00
-1.116608724928248506e+02 0.000000000000000000e+00
-1.116108724928248535e+02 0.000000000000000000e+00
-1.115608724928248563e+02 0.000000000000000000e+00
-1.115108724928248591e+02 0.000000000000000000e+00
-1.114608724928248620e+02 0.000000000000000000e+00
-1.114108724928248648e+02 0.000000000000000000e+00
-1.113608724928248677e+02 0.000000000000000000e+00
-1.113108724928248705e+02 0.000000000000000000e+00
-1.112608724928248733e+02 0.000000000000000000e+00
-1.112108724928248762e+02 0.000000000000000000e+00
-1.111608724928248790e+02 0.000000000000000000e+00
-1.111108724928248819e+02 0.000000000000000000e+00
-1.110608724928248847e+02 0.000000000000000000e+00
-1.110108724928248876e+02 0.000000000000000000e+00
-1.109608724928248904e+02 0.000000000000000000e+00
-1.109108724928248932e+02 0.000000000000000000e+00
-1.108608724928248961e+02 0.000000000000000000e+00
-1.108108724928248989e+02 0.000000000000000000e+00
-1.107608724928249018e+02 -1.447612342314852374e-321
-1.107108724928249046e+02 -1.992849849292814347e-317
-1.106608724928249075e+02 -2.580479919840571736e-313
-1.106108724928249103e+02 -3.138939566155973278e-309
-1.105608724928249131e+02 -3.586922717370097062e-305
-1.105108724928249160e+02 -3.850504894544495159e-301
-1.104608724928249188e+02 -3.883022748290855573e-297
-1.104108724928249217e+02 -3.678567967525456057e-293
-1.103608724928249245e+02 -3.273740337115609111e-289
-1.103108724928249273e+02 -2.736946254535086113e-285
-1.102608724928249302e+02 -2.149536894982049797e-281
-1.102108724928249330e+02 -1.585915826973645860e-277
-1.101608724928249359e+02 -1.099187947134763889e-273
-1.101108724928249387e+02 -7.156824652509512957e-270
-1.100608724928249416e+02 -4.377492300697178043e-266
-1.100108724928249444e+02 -2.515283835806973456e-262
-1.099608724928249472e+02 -1.357704332104927352e-258
-1.099108724928249501e+02 -6.884620448830140872e-255
-1.098608724928249529e+02 -3.279528399525564586e-251
-1.098108724928249558e+02 -1.467571889785404562e-247
-1.097608724928249586e+02 -6.169414757282787448e-244
-1.097108724928249615e+02 -2.436380675790806487e-240
-1.096608724928249643e+02 -9.038636464962079021e-237
-1.096108724928249671e+02 -3.150048840155393024e-233
-1.095608724928249700e+02 -1.031307676212691721e-229
-1.095108724928249728e+02 -3.171873131405432502e-226
-1.094608724928249757e+02 -9.164313991457457332e-223
-1.094108724928249785e+02 -2.487371811377849015e-219
-1.093608724928249814e+02 -6.342172507974852031e-216
-1.093108724928249842e+02 -1.519119673105456713e-212
-1.092608724928249870e+02 -3.418239750249583436e-209
-1.092108724928249899e+02 -7.225528981003056254e-206
-1.091608724928249927e+02 -1.434806611615468642e-202
-1.091108724928249956e+02 -2.676539679060973418e-199
-1.090608724928249984e+02 -4.690407739500813452e-196
-1.090108724928250012e+02 -7.721543179329414981e-193
-1.089608724928250041e+02 -1.194137139740782047e-189
-1.089108724928250069e+02 -1.734845892688885699e-186
-1.088608724928250098e+02 -2.367686475751388180e-183
-1.088108724928250126e+02 -3.035596752767630024e-180
-1.087608724928250155e+02 -3.656121001912067844e-177
-1.087108724928250183e+02 -4.136696286613062957e-174
-1.086608724928250211e+02 -4.396866780317270921e-171
-1.086108724928250240e+02 -4.390253248016720845e-168
-1.085608724928250268e+02 -4.118057756631714392e-165
-1.085108724928250297e+02 -3.628706885538749520e-162
-1.084608724928250325e+02 -3.003778739660863745e-159
-1.084108724928250354e+02 -2.335826516396458729e-156
-1.083608724928250382e+02 -1.706356708855236446e-153
-1.083108724928250410e+02 -1.170996667790219933e-150
-1.082608724928250439e+02 -7.549150595407073820e-148
-1.082108724928250467e+02 -4.571904117464525176e-145
-1.081608724928250496e+02 -2.601074151873643781e-142
-1.081108724928250524e+02 -1.390160511067210056e-139
-1.080608724928250552e+02 -6.979651799523666436e-137
-1.080108724928250581e+02 -3.291994957572588123e-134
-1.079608724928250609e+02 -1.458616628924277382e-131
-1.079108724928250638e+02 -6.071272897414482960e-129
-1.078608724928250666e+02 -2.373968452005375132e-126
-1.078108724928250695e+02 -8.720205648173121329e-124
-1.077608724928250723e+02 -3.009089502586433082e-121
-1.077108724928250751e+02 -9.754389181532058472e-119
-1.076608724928250780e+02 -2.970445902878171839e-116
-1.076108724928250808e+02 -8.497669005209438883e-114
-1.075608724928250837e+02 -2.283676426782845579e-111
-1.075108724928250865e+02 -5.765353246861181691e-109
-1.074608724928250894e+02 -1.367331660086816842e-106
-1.074108724928250922e+02 -3.046340277887339167e-104
-1.073608724928250950e+02 -6.375871421517681331e-102
-1.073108724928250979e+02 -1.253595091202555040e-99
-1.072608724928251007e+02 -2.315429756584950691e-97
-1.072108724928251036e+02 -4.017561491058312296e-95
-1.071608724928251064e+02 -6.548623915413041132e-93
-1.071108724928251092e+02 -1.002753443123162681e-90
-1.070608724928251121e+02 -1.442430406757304288e-88
-1.070108724928251149e+02 -1.949181005875665188e-86
-1.069608724928251178e+02 -2.474378123896671493e-84
-1.069108724928251206e+02 -2.950778150469407531e-82
-1.068608724928251235e+02 -3.305701580851405348e-80
-1.068108724928251263e+02 -3.478943109216753645e-78
-1.067608724928251291e+02 -3.439438933727175755e-76
-1.067108724928251320e+02 -3.194364525320391254e-74
-1.066608724928251348e+02 -2.787006234373210190e-72
-1.066108724928251377e+02 -2.284272971812282363e-70
-1.065608724928251405e+02 -1.758792710041110472e-68
-1.065108724928251434e+02 -1.272148785078914661e-66
-1.064608724928251462e+02 -8.644059607846567620e-65
-1.064108724928251490e+02 -5.517650571028103948e-63
-1.063608724928251519e+02 -3.308622575702496206e-61
-1.063108724928251547e+02 -1.863789492203612651e-59
-1.062608724928251576e+02 -9.862864893135916614e-58
-1.062108724928251604e+02 -4.903045278758883224e-56
-1.061608724928251632e+02 -2.289735506490961096e-54
-1.061108724928251661e+02 -1.004526338621508756e-52
-1.060608724928251689e+02 -4.139938913614312472e-51
-1.060108724928251718e+02 -1.602814019422063550e-49
-1.059608724928251746e+02 -5.829468055515296660e-48
-1.059108724928251775e+02 -1.991733903357550456e-46
-1.058608724928251803e+02 -6.392787965645854162e-45
-1.058108724928251831e+02 -1.927551006456024980e-43
-1.057608724928251860e+02 -5.459816578979074003e-42
-1.057108724928251888e+02 -1.452803313459884758e-40
-1.056608724928251917e+02 -3.631551315394052095e-39
-1.056108724928251945e+02 -8.527743790008999351e-38
-1.055608724928251974e+02 -1.881190154739196532e-36
-1.055108724928252002e+02 -3.898412989486163172e-35
-1.054608724928252030e+02 -7.589262743924136337e-34
-1.054108724928252059e+02 -1.387931161565258738e-32
-1.053608724928252087e+02 -2.384475472167879746e-31
-1.053108724928252116e+02 -3.848348438277568008e-30
-1.052608724928252144e+02 -5.834619105001706593e-29
-1.052108724928252173e+02 -8.310118699098228166e-28
-1.051608724928252201e+02 -1.111881589824365738e-26
-1.051108724928252229e+02 -1.397547077611033740e-25
-1.050608724928252258e+02 -1.650178590127358751e-24
-1.050108724928252286e+02 -1.830425446082559865e-23
-1.049608724928252315e+02 -1.907347109927264945e-22
-1.049108724928252343e+02 -1.867084704387487024e-21
-1.048608724928252371e+02 -1.716939139133321682e-20
-1.048108724928252400e+02 -1.483209076898200878e-19
-1.047608724928252428e+02 -1.203667243634721222e-18
-1.047108724928252457e+02 -9.176289407087283856e-18
-1.046608724928252485e+02 -6.571800248560648159e-17
-1.046108724928252514e+02 -4.421383616503273566e-16
-1.045608724928252542e+02 -2.794400367272440984e-15
-1.045108724928252570e+02 -1.659111784210691109e-14
-1.044608724928252599e+02 -9.253781666367480557e-14
-1.044108724928252627e+02 -4.848634256391308887e-13
-1.043608724928252656e+02 -2.386580954205068224e-12
-1.043108724928252684e+02 -1.103543535515881511e-11
-1.042608724928252713e+02 -4.793572598957012436e-11
-1.042108724928252741e+02 -1.956075702629944921e-10
-1.041608724928252769e+02 -7.498397869164893240e-10
-1.041108724928252798e+02 -2.700273281133178662e-09
-1.040608724928252826e+02 -9.134889367077023679e-09
-1.040108724928252855e+02 -2.903053763404771870e-08
-1.039608724928252883e+02 -8.666882408111926360e-08
-1.039108724928252911e+02 -2.430672853270031741e-07
-1.038608724928252940e+02 -6.403914461141762661e-07
-1.038108724928252968e+02 -1.584963949452281770e-06
-1.037608724928252997e+02 -3.685083246034613667e-06
-1.037108724928253025e+02 -8.048743454522452453e-06
-1.036608724928253054e+02 -1.651429367994989753e-05
-1.036108724928253082e+02 -3.183028459162503122e-05
-1.035608724928253110e+02 -5.763229543219902223e-05
-1.035108724928253139e+02 -9.802361819792762912e-05
-1.034608724928253167e+02 -1.566126851215324071e-04
-1.034108724928253196e+02 -2.350405268571237642e-04
-1.033608724928253224e+02 -3.313300665233527044e-04
-1.033108724928253253e+02 -4.386879625540271487e-04
-1.032608724928253281e+02 -5.454937631565298086e-04
-1.032108724928253309e+02 -6.369533888635330607e-04
-1.031608724928253338e+02 -6.982765946082048576e-04
-1.031108724928253366e+02 -7.185025175085245179e-04
-1.030608724928253395e+02 -6.936348318027557363e-04
-1.030108724928253423e+02 -6.278697475804536797e-04
-1.029608724928253451e+02 -5.324145829065397026e-04
-1.029108724928253480e+02 -4.223645181819056385e-04
-1.028608724928253508e+02 -3.128382460425838921e-04
-1.028108724928253537e+02 -2.157222518871305169e-04
-1.027608724928253565e+02 -1.379323545807315909e-04
-1.027108724928253594e+02 -8.137009299899242002e-05
-1.026608724928253622e+02 -4.412017363700434933e-05
-1.026108724928253650e+02 -2.215362320795635691e-05
-1.025608724928253679e+02 -1.088490064563349792e-05
-1.025108724928253707e+02 -6.222538675232429160e-06
-1.024608724928253736e+02 -5.057274040065214455e-06
-1.024108724928253764e+02 -5.324492885503607606e-06
-1.023608724928253793e+02 -5.834611628069392587e-06
-1.023108724928253821e+02 -6.029164062953777828e-06
-1.022608724928253849e+02 -5.752625434202288755e-06
-1.022108724928253878e+02 -5.073180819731164732e-06
-1.021608724928253906e+02 -4.154738486687284505e-06
-1.021108724928253935e+02 -3.172654503505670570e-06
-1.020608724928253963e+02 -2.265411381837656333e-06
-1.020108724928253991e+02 -1.515329679917029319e-06
-1.019608724928254020e+02 -9.505879902664849348e-07
-1.019108724928254048e+02 -5.596278606767853155e-07
-1.018608724928254077e+02 -3.093183927038476490e-07
-1.018108724928254105e+02 -1.605525014558969664e-07
-1.017608724928254134e+02 -7.827006447360910808e-08
-1.017108724928254162e+02 -3.584085440745479954e-08
-1.016608724928254190e+02 -1.541653238908268318e-08
-1.016108724928254219e+02 -6.229216861246850070e-09
-1.015608724928254247e+02 -2.364427963077552232e-09
-1.015108724928254276e+02 -8.430804298132992362e-10
-1.014608724928254304e+02 -2.824000720545314342e-10
-1.014108724928254333e+02 -8.886177749432501028e-11
-1.013608724928254361e+02 -2.626760552766122747e-11
-1.013108724928254389e+02 -7.294269447008721704e-12
-1.012608724928254418e+02 -1.902826793369629243e-12
-1.012108724928254446e+02 -4.663081855806492877e-13
-1.011608724928254475e+02 -1.073502981311215202e-13
-1.011108724928254503e+02 -2.321613766025357050e-14
-1.010608724928254532e+02 -4.716645365390228073e-15
-1.010108724928254560e+02 -9.001876251285202067e-16
