# Energy(eV) COHP
-1.134108724928247511e+02 0.000000000000000000e+00
-1.133608724928247540e+02 0.000000000000000000e+00
-1.133108724928247568e+02 0.000000000000000000e+00
-1.132608724928247597e+02 0.000000000000000000e+00
-1.132108724928247625e+02 0.000000000000000000e+00
-1.131608724928247653e+02 0.000000000000000000e+00
-1.131108724928247682e+02 0.000000000000000000e+00
-1.130608724928247710e+02 0.000000000000000000e+00
-1.130108724928247739e+02 0.000000000000000000e+00
-1.129608724928247767e+02 0.000000000000000000e+00
-1.129108724928247796e+02 0.000000000000000000e+00
-1.128608724928247824e+02 0.000000000000000000e+00
-1.128108724928247852e+02 0.000000000000000000e+00
-1.127608724928247881e+02 0.000000000000000000e+00
-1.127108724928247909e+02 0.000000000000000000e+00
-1.126608724928247938e+02 0.000000000000000000e+00
-1.126108724928247966e+02 0.000000000000000000e+00
-1.125608724928247995e+02 0.000000000000000000e+00
-1.125108724928248023e+02 0.000000000000000000e+00
-1.124608724928248051e+02 0.000000000000000000e+00
-1.124108724928248080e+02 0.000000000000000000e+00
-1.123608724928248108e+02 0.000000000000000000e+00
-1.123108724928248137e+02 0.000000000000000000e+00
-1.122608724928248165e+02 0.000000000000000000e+00
-1.122108724928248193e+02 0.000000000000000000e+00
-1.121608724928248222e+02 0.000000000000000000e+00
-1.121108724928248250e+02 0.000000000000000000e+00
-1.120608724928248279e+02 0.000000000000000000e+00
-1.120108724928248307e+02 0.000000000000000000e+00
-1.119608724928248336e+02 0.000000000000000000e+00
-1.119108724928248364e+02 0.000000000000000000e+00
-1.118608724928248392e+02 0.000000000000000000e+00
-1.118108724928248421e+02 0.000000000000000000e+00
-1.117608724928248449e+02 0.000000000000000000e+00
-1.117108724928248478e+02 0.000000000000000000e+00
-1.116608724928248506e+02 0.000000000000000000e+00
-1.116108724928248535e+02 0.000000000000000000e+00
-1.115608724928248563e+02 0.000000000000000000e+00
-1.115108724928248591e+02 0.000000000000000000e+00
-1.114608724928248620e+02 0.000000000000000000e+00
-1.114108724928248648e+02 0.000000000000000000e+00
-1.113608724928248677e+02 0.000000000000000000e+00
-1.113108724928248705e+02 0.000000000000000000e+00
-1.112608724928248733e+02 0.000000000000000000e+00
-1.112108724928248762e+02 0.000000000000000000e+00
-1.111608724928248790e+02 0.000000000000000000e+00
-1.111108724928248819e+02 0.000000000000000000e+00
-1.110608724928248847e+02 0.000000000000000000e+00
-1.110108724928248876e+02 0.000000000000000000e+00
-1.109608724928248904e+02 0.000000000000000000e+00
-1.109108724928248932e+02 0.000000000000000000e+00
-1.108608724928248961e+02 0.000000000000000000e+00
-1.108108724928248989e+02 0.000000000000000000e+00
-1.107608724928249018e+02 0.000000000000000000e+00
-1.107108724928249046e+02 -2.000471800011207257e-320
-1.106608724928249075e+02 -2.590055997074539926e-316
-1.106108724928249103e+02 -3.150588087499158553e-312
-1.105608724928249131e+02 -3.600233692284560972e-308
-1.105108724928249160e+02 -3.864794015916165470e-304
-1.104608724928249188e+02 -3.897432542553913639e-300
-1.104108724928249217e+02 -3.692219035528611461e-296
-1.103608724928249245e+02 -3.285889100536908852e-292
-1.103108724928249273e+02 -2.747102989376327288e-288
-1.102608724928249302e+02 -2.157513769295025896e-284
-1.102108724928249330e+02 -1.591801118476322929e-280
-1.101608724928249359e+02 -1.103267004405704923e-276
-1.101108724928249387e+02 -7.183383438667753897e-273
-1.100608724928249416e+02 -4.393737058333206156e-269
-1.100108724928249444e+02 -2.524617987300967747e-265
-1.099608724928249472e+02 -1.362742736812781963e-261
-1.099108724928249501e+02 -6.910169092419867107e-258
-1.098608724928249529e+02 -3.291698642292702615e-254
-1.098108724928249558e+02 -1.473018010081084961e-250
-1.097608724928249586e+02 -6.192309291551239065e-247
-1.097108724928249615e+02 -2.445422019754111773e-243
-1.096608724928249643e+02 -9.072178604764377864e-240
-1.096108724928249671e+02 -3.161738587717444984e-236
-1.095608724928249700e+02 -1.035134831601538828e-232
-1.095108724928249728e+02 -3.183643868332531650e-229
-1.094608724928249757e+02 -9.198322517221847342e-226
-1.094108724928249785e+02 -2.496602382090694109e-222
-1.093608724928249814e+02 -6.365708141666662556e-219
-1.093108724928249842e+02 -1.524757085855626551e-215
-1.092608724928249870e+02 -3.430924747154271422e-212
-1.092108724928249899e+02 -7.252342727099147595e-209
-1.091608724928249927e+02 -1.440131140834298261e-205
-1.091108724928249956e+02 -2.686472246705382803e-202
-1.090608724928249984e+02 -4.707813718017373496e-199
-1.090108724928250012e+02 -7.750197620938450341e-196
-1.089608724928250041e+02 -1.198568550943076685e-192
-1.089108724928250069e+02 -1.741283859708976389e-189
-1.088608724928250098e+02 -2.376472897363267776e-186
-1.088108724928250126e+02 -3.046861771673903709e-183
-1.087608724928250155e+02 -3.669688769822155068e-180
-1.087108724928250183e+02 -4.152047456637778728e-177
-1.086608724928250211e+02 -4.413183436132469412e-174
-1.086108724928250240e+02 -4.406545361189246307e-171
-1.085608724928250268e+02 -4.133339759566817669e-168
-1.085108724928250297e+02 -3.642172920391255007e-165
-1.084608724928250325e+02 -3.014925682765771662e-162
-1.084108724928250354e+02 -2.344494706545559473e-159
-1.083608724928250382e+02 -1.712688953270960341e-156
-1.083108724928250410e+02 -1.175342205315852736e-153
-1.082608724928250439e+02 -7.577165292716931773e-151
-1.082108724928250467e+02 -4.588870332187858846e-148
-1.081608724928250496e+02 -2.610726668951467959e-145
-1.081108724928250524e+02 -1.395319359792967152e-142
-1.080608724928250552e+02 -7.005553101931226842e-140
-1.080108724928250581e+02 -3.304211463405453551e-137
-1.079608724928250609e+02 -1.464029516484806193e-134
-1.079108724928250638e+02 -6.093803229848185529e-132
-1.078608724928250666e+02 -2.382778185864247011e-129
-1.078108724928250695e+02 -8.752566099673706054e-127
-1.077608724928250723e+02 -3.020256153791472610e-124
-1.077108724928250751e+02 -9.790587460650960390e-122
-1.076608724928250780e+02 -2.981469148711294551e-119
-1.076108724928250808e+02 -8.529203629139864128e-117
-1.075608724928250837e+02 -2.292151089334802347e-114
-1.075108724928250865e+02 -5.786748319598700910e-112
-1.074608724928250894e+02 -1.372405791553053912e-109
-1.074108724928250922e+02 -3.057645165729921663e-107
-1.073608724928250950e+02 -6.399532110982408841e-105
-1.073108724928250979e+02 -1.258247149283172644e-102
-1.072608724928251007e+02 -2.324022254900248469e-100
-1.072108724928251036e+02 -4.032470555021642193e-98
-1.071608724928251064e+02 -6.572925684793293607e-96
-1.071108724928251092e+02 -1.006474634511582164e-93
-1.070608724928251121e+02 -1.447783227677371988e-91
-1.070108724928251149e+02 -1.956414364806793604e-89
-1.069608724928251178e+02 -2.483560475380460784e-87
-1.069108724928251206e+02 -2.961728409795829304e-85
-1.068608724928251235e+02 -3.317968951599125929e-83
-1.068108724928251263e+02 -3.491853374673924470e-81
-1.067608724928251291e+02 -3.452202600238564004e-79
-1.067108724928251320e+02 -3.206218727212791416e-77
-1.066608724928251348e+02 -2.797348740469725395e-75
-1.066108724928251377e+02 -2.292749848126973540e-73
-1.065608724928251405e+02 -1.765319543064203081e-71
-1.065108724928251434e+02 -1.276869695424586739e-69
-1.064608724928251462e+02 -8.676137483414130022e-68
-1.064108724928251490e+02 -5.538126425715804681e-66
-1.063608724928251519e+02 -3.320900786184308439e-64
-1.063108724928251547e+02 -1.870705965495834975e-62
-1.062608724928251576e+02 -9.899465722737523269e-61
-1.062108724928251604e+02 -4.921240349533785330e-59
-1.061608724928251632e+02 -2.298232654126108742e-57
-1.061108724928251661e+02 -1.008254109177615206e-55
-1.060608724928251689e+02 -4.155302116939234240e-54
-1.060108724928251718e+02 -1.608762019666621154e-52
-1.059608724928251746e+02 -5.851101056597164794e-51
-1.059108724928251775e+02 -1.999125174957153075e-49
-1.058608724928251803e+02 -6.416511431939510429e-48
-1.058108724928251831e+02 -1.934704097026507204e-46
-1.057608724928251860e+02 -5.480077813228369330e-45
-1.057108724928251888e+02 -1.458194627949340411e-43
-1.056608724928251917e+02 -3.645027905807236662e-42
-1.056108724928251945e+02 -8.559390020520261096e-41
-1.055608724928251974e+02 -1.888171201380996903e-39
-1.055108724928252002e+02 -3.912879896383907319e-38
-1.054608724928252030e+02 -7.617426295951154860e-37
-1.054108724928252059e+02 -1.393081737127855602e-35
-1.053608724928252087e+02 -2.393324197033934909e-34
-1.053108724928252116e+02 -3.862629556474883790e-33
-1.052608724928252144e+02 -5.856271220128118381e-32
-1.052108724928252173e+02 -8.340957325990537498e-31
-1.051608724928252201e+02 -1.116007752315485615e-29
-1.051108724928252229e+02 -1.402733336684398955e-28
-1.050608724928252258e+02 -1.656302357315441295e-27
-1.050108724928252286e+02 -1.837218103515683026e-26
-1.049608724928252315e+02 -1.914425220194462866e-25
-1.049108724928252343e+02 -1.874013400180878323e-24
-1.048608724928252371e+02 -1.723310646743369126e-23
-1.048108724928252400e+02 -1.488713216461456301e-22
-1.047608724928252428e+02 -1.208134009140566167e-21
-1.047108724928252457e+02 -9.210342244616157198e-21
-1.046608724928252485e+02 -6.596187891334727586e-20
-1.046108724928252514e+02 -4.437791123883401949e-19
-1.045608724928252542e+02 -2.804770194265524679e-18
-1.045108724928252570e+02 -1.665268602322653784e-17
-1.044608724928252599e+02 -9.288121386174877458e-17
-1.044108724928252627e+02 -4.866626791274669992e-16
-1.043608724928252656e+02 -2.395437054588279952e-15
-1.043108724928252684e+02 -1.107638464821459427e-14
-1.042608724928252713e+02 -4.811359600866845074e-14
-1.042108724928252741e+02 -1.963333583113126055e-13
-1.041608724928252769e+02 -7.526218381803362917e-13
-1.041108724928252798e+02 -2.710290917156841336e-12
-1.040608724928252826e+02 -9.168774201036372407e-12
-1.040108724928252855e+02 -2.913820369250826002e-11
-1.039608724928252883e+02 -8.699017273073526673e-11
-1.039108724928252911e+02 -2.439682048167796006e-10
-1.038608724928252940e+02 -6.427638617996659339e-10
-1.038108724928252968e+02 -1.590831667275799530e-09
-1.037608724928252997e+02 -3.698713176496925303e-09
-1.037108724928253025e+02 -8.078475868559527426e-09
-1.036608724928253054e+02 -1.657519685295945891e-08
-1.036108724928253082e+02 -3.194741869522254319e-08
-1.035608724928253110e+02 -5.784380555665017320e-08
-1.035108724928253139e+02 -9.838219935396620891e-08
-1.034608724928253167e+02 -1.571835542058479949e-07
-1.034108724928253196e+02 -2.358944767676368044e-07
-1.033608724928253224e+02 -3.325319589362557278e-07
-1.033108724928253253e+02 -4.402840679485763209e-07
-1.032608724928253281e+02 -5.475046385459985381e-07
-1.032108724928253309e+02 -6.393805719323426169e-07
-1.031608724928253338e+02 -7.011293657738449116e-07
-1.031108724928253366e+02 -7.218448933577459784e-07
-1.030608724928253395e+02 -6.976450119452793572e-07
-1.030108724928253423e+02 -6.328989511191085183e-07
-1.029608724928253451e+02 -5.390338391047401564e-07
-1.029108724928253480e+02 -4.313966734780485738e-07
-1.028608724928253508e+02 -3.253818201734907743e-07
-1.028108724928253537e+02 -2.331730163850962218e-07
-1.027608724928253565e+02 -1.619900623836053895e-07
-1.027108724928253594e+02 -1.139867786723297704e-07
-1.026608724928253622e+02 -8.732413252186013284e-08
-1.026108724928253650e+02 -7.769782881123071423e-08
-1.025608724928253679e+02 -7.973517104438591995e-08
-1.025108724928253707e+02 -8.800165348517018342e-08
-1.024608724928253736e+02 -9.764531707863595504e-08
-1.024108724928253764e+02 -1.048231719491623798e-07
-1.023608724928253793e+02 -1.070054405464274979e-07
-1.023108724928253821e+02 -1.031419067943008064e-07
-1.022608724928253849e+02 -9.361120197292184740e-08
-1.022108724928253878e+02 -7.990764316442437336e-08
-1.021608724928253906e+02 -6.412086713455235118e-08
-1.021108724928253935e+02 -4.835633954845770974e-08
-1.020608724928253963e+02 -3.426803626846564781e-08
-1.020108724928253991e+02 -2.281749052806052828e-08
-1.019608724928254020e+02 -1.427456895986769513e-08
-1.019108724928254048e+02 -8.389888233182075764e-09
-1.018608724928254077e+02 -4.632703137638198208e-09
-1.018108724928254105e+02 -2.403194141247596490e-09
-1.017608724928254134e+02 -1.171151456218158905e-09
-1.017108724928254162e+02 -5.361703328329072156e-10
-1.016608724928254190e+02 -2.305977518464071960e-10
-1.016108724928254219e+02 -9.316825019836649063e-11
-1.015608724928254247e+02 -3.536226314998162493e-11
-1.015108724928254276e+02 -1.260870579360924934e-11
-1.014608724928254304e+02 -4.223366020127754059e-12
-1.014108724928254333e+02 -1.328936674898073505e-12
-1.013608724928254361e+02 -3.928320798505491857e-13
-1.013108724928254389e+02 -1.090853746785705700e-13
-1.012608724928254418e+02 -2.845659399600409812e-14
-1.012108724928254446e+02 -6.973584088966563876e-15
-1.011608724928254475e+02 -1.605409588247571397e-15
-1.011108724928254503e+02 -3.471940844610997123e-16
-1.010608724928254532e+02 -7.053674503867893755e-17
-1.010108724928254560e+02 -1.346217193628555097e-17
