# Energy(eV) COHP
-1.073893888446229425e+02 0.000000000000000000e+00
-1.073393888446229454e+02 0.000000000000000000e+00
-1.072893888446229482e+02 0.000000000000000000e+00
-1.072393888446229511e+02 0.000000000000000000e+00
-1.071893888446229539e+02 0.000000000000000000e+00
-1.071393888446229568e+02 0.000000000000000000e+00
-1.070893888446229596e+02 0.000000000000000000e+00
-1.070393888446229624e+02 0.000000000000000000e+00
-1.069893888446229653e+02 0.000000000000000000e+00
-1.069393888446229681e+02 0.000000000000000000e+00
-1.068893888446229710e+02 0.000000000000000000e+00
-1.068393888446229738e+02 0.000000000000000000e+00
-1.067893888446229766e+02 0.000000000000000000e+00
-1.067393888446229795e+02 0.000000000000000000e+00
-1.066893888446229823e+02 0.000000000000000000e+00
-1.066393888446229852e+02 0.000000000000000000e+00
-1.065893888446229880e+02 0.000000000000000000e+00
-1.065393888446229909e+02 0.000000000000000000e+00
-1.064893888446229937e+02 0.000000000000000000e+00
-1.064393888446229965e+02 0.000000000000000000e+00
-1.063893888446229994e+02 0.000000000000000000e+00
-1.063393888446230022e+02 0.000000000000000000e+00
-1.062893888446230051e+02 0.000000000000000000e+00
-1.062393888446230079e+02 0.000000000000000000e+00
-1.061893888446230108e+02 0.000000000000000000e+00
-1.061393888446230136e+02 0.000000000000000000e+00
-1.060893888446230164e+02 0.000000000000000000e+00
-1.060393888446230193e+02 0.000000000000000000e+00
-1.059893888446230221e+02 0.000000000000000000e+00
-1.059393888446230250e+02 0.000000000000000000e+00
-1.058893888446230278e+02 0.000000000000000000e+00
-1.058393888446230306e+02 0.000000000000000000e+00
-1.057893888446230335e+02 0.000000000000000000e+00
-1.057393888446230363e+02 0.000000000000000000e+00
-1.056893888446230392e+02 0.000000000000000000e+00
-1.056393888446230420e+02 0.000000000000000000e+00
-1.055893888446230449e+02 0.000000000000000000e+00
-1.055393888446230477e+02 0.000000000000000000e+00
-1.054893888446230505e+02 0.000000000000000000e+00
-1.054393888446230534e+02 0.000000000000000000e+00
-1.053893888446230562e+02 0.000000000000000000e+00
-1.053393888446230591e+02 0.000000000000000000e+00
-1.052893888446230619e+02 -8.858597029933550537e-321
-1.052393888446230648e+02 -1.220872425885560374e-316
-1.051893888446230676e+02 -1.580869986334499285e-312
-1.051393888446230704e+02 -1.922997079310767744e-308
-1.050893888446230733e+02 -2.197443360677112337e-304
-1.050393888446230761e+02 -2.358920746966987828e-300
-1.049893888446230790e+02 -2.378842040914128900e-296
-1.049393888446230818e+02 -2.253587655483424634e-292
-1.048893888446230847e+02 -2.005579583172627255e-288
-1.048393888446230875e+02 -1.676725385365381068e-284
-1.047893888446230903e+02 -1.316862935333054319e-280
-1.047393888446230932e+02 -9.715738194468642883e-277
-1.046893888446230960e+02 -6.733914965245044704e-273
-1.046393888446230989e+02 -4.384459341716180800e-269
-1.045893888446231017e+02 -2.681767116419776273e-265
-1.045393888446231045e+02 -1.540929147552135711e-261
-1.044893888446231074e+02 -8.317654450425373622e-258
-1.044393888446231102e+02 -4.217699874826357245e-254
-1.043893888446231131e+02 -2.009125502702019023e-250
-1.043393888446231159e+02 -8.990732055386394483e-247
-1.042893888446231188e+02 -3.779546024787034784e-243
-1.042393888446231216e+02 -1.492590992878679550e-239
-1.041893888446231244e+02 -5.537306837786442693e-236
-1.041393888446231273e+02 -1.929802913256882593e-232
-1.040893888446231301e+02 -6.318062541281931339e-229
-1.040393888446231330e+02 -1.943173049077384913e-225
-1.039893888446231358e+02 -5.614300201720995664e-222
-1.039393888446231387e+02 -1.523829505993700669e-218
-1.038893888446231415e+02 -3.885381974478788440e-215
-1.038393888446231443e+02 -9.306527357208013016e-212
-1.037893888446231472e+02 -2.094103730758890643e-208
-1.037393888446231500e+02 -4.426549423492074945e-205
-1.036893888446231529e+02 -8.790003328707682402e-202
-1.036393888446231557e+02 -1.639718725708617118e-198
-1.035893888446231585e+02 -2.873467358558409730e-195
-1.035393888446231614e+02 -4.730420789784847908e-192
-1.034893888446231642e+02 -7.315598735244761308e-189
-1.034393888446231671e+02 -1.062812301538027933e-185
-1.033893888446231699e+02 -1.450507116060636312e-182
-1.033393888446231728e+02 -1.859686549074306707e-179
-1.032893888446231756e+02 -2.239836052942444668e-176
-1.032393888446231784e+02 -2.534249133982002904e-173
-1.031893888446231813e+02 -2.693636433091020628e-170
-1.031393888446231841e+02 -2.689584808958142499e-167
-1.030893888446231870e+02 -2.522830679449387702e-164
-1.030393888446231898e+02 -2.223041442977291572e-161
-1.029893888446231927e+02 -1.840193995941557856e-158
-1.029393888446231955e+02 -1.430988865551111871e-155
-1.028893888446231983e+02 -1.045359076922064418e-152
-1.028393888446232012e+02 -7.173834107296546137e-150
-1.027893888446232040e+02 -4.624808550877210523e-147
-1.027393888446232069e+02 -2.800868917505083249e-144
-1.026893888446232097e+02 -1.593486555476808791e-141
-1.026393888446232125e+02 -8.516489553920179941e-139
-1.025893888446232154e+02 -4.275918584035340218e-136
-1.025393888446232182e+02 -2.016762844615817807e-133
-1.024893888446232211e+02 -8.935869767924443802e-131
-1.024393888446232239e+02 -3.719421735705548362e-128
-1.023893888446232268e+02 -1.454355620223941833e-125
-1.023393888446232296e+02 -5.342227729781317106e-123
-1.022893888446232324e+02 -1.843447509231489727e-120
-1.022393888446232353e+02 -5.975795809766996374e-118
-1.021893888446232381e+02 -1.819773421914146224e-115
-1.021393888446232410e+02 -5.205895919168329762e-113
-1.020893888446232438e+02 -1.399040346664657768e-110
-1.020393888446232467e+02 -3.532007297765861304e-108
-1.019893888446232495e+02 -8.376633998137444603e-106
-1.019393888446232523e+02 -1.866268315620389814e-103
-1.018893888446232552e+02 -3.906026816774420636e-101
-1.018393888446232580e+02 -7.679853811180525335e-99
-1.017893888446232609e+02 -1.418493273100771818e-96
-1.017393888446232637e+02 -2.461264019401850309e-94
-1.016893888446232666e+02 -4.011859546014013630e-92
-1.016393888446232694e+02 -6.143131786242368508e-90
-1.015893888446232722e+02 -8.836708706374351647e-88
-1.015393888446232751e+02 -1.194119638925435593e-85
-1.014893888446232779e+02 -1.515869230700356562e-83
-1.014393888446232808e+02 -1.807724438605760937e-81
-1.013893888446232836e+02 -2.025159883162400752e-79
