# Energy(eV) COHP
-1.073893463014894820e+02 0.000000000000000000e+00
-1.073393463014894849e+02 0.000000000000000000e+00
-1.072893463014894877e+02 0.000000000000000000e+00
-1.072393463014894905e+02 0.000000000000000000e+00
-1.071893463014894934e+02 0.000000000000000000e+00
-1.071393463014894962e+02 0.000000000000000000e+00
-1.070893463014894991e+02 0.000000000000000000e+00
-1.070393463014895019e+02 0.000000000000000000e+00
-1.069893463014895048e+02 0.000000000000000000e+00
-1.069393463014895076e+02 0.000000000000000000e+00
-1.068893463014895104e+02 0.000000000000000000e+00
-1.068393463014895133e+02 0.000000000000000000e+00
-1.067893463014895161e+02 0.000000000000000000e+00
-1.067393463014895190e+02 0.000000000000000000e+00
-1.066893463014895218e+02 0.000000000000000000e+00
-1.066393463014895246e+02 0.000000000000000000e+00
-1.065893463014895275e+02 0.000000000000000000e+00
-1.065393463014895303e+02 0.000000000000000000e+00
-1.064893463014895332e+02 0.000000000000000000e+00
-1.064393463014895360e+02 0.000000000000000000e+00
-1.063893463014895389e+02 0.000000000000000000e+00
-1.063393463014895417e+02 0.000000000000000000e+00
-1.062893463014895445e+02 0.000000000000000000e+00
-1.062393463014895474e+02 0.000000000000000000e+00
-1.061893463014895502e+02 0.000000000000000000e+00
-1.061393463014895531e+02 0.000000000000000000e+00
-1.060893463014895559e+02 0.000000000000000000e+00
-1.060393463014895588e+02 0.000000000000000000e+00
-1.059893463014895616e+02 0.000000000000000000e+00
-1.059393463014895644e+02 0.000000000000000000e+00
-1.058893463014895673e+02 0.000000000000000000e+00
-1.058393463014895701e+02 0.000000000000000000e+00
-1.057893463014895730e+02 0.000000000000000000e+00
-1.057393463014895758e+02 0.000000000000000000e+00
-1.056893463014895787e+02 0.000000000000000000e+00
-1.056393463014895815e+02 0.000000000000000000e+00
-1.055893463014895843e+02 0.000000000000000000e+00
-1.055393463014895872e+02 0.000000000000000000e+00
-1.054893463014895900e+02 0.000000000000000000e+00
-1.054393463014895929e+02 0.000000000000000000e+00
-1.053893463014895957e+02 0.000000000000000000e+00
-1.053393463014895985e+02 0.000000000000000000e+00
-1.052893463014896014e+02 -9.881312916824930884e-324
-1.052393463014896042e+02 -1.596227288583899335e-319
-1.051893463014896071e+02 -2.066909350879690106e-315
-1.051393463014896099e+02 -2.514223609659386488e-311
-1.050893463014896128e+02 -2.873048554126598147e-307
-1.050393463014896156e+02 -3.084172253379221545e-303
-1.049893463014896184e+02 -3.110218360321212730e-299
-1.049393463014896213e+02 -2.946454443853845066e-295
-1.048893463014896241e+02 -2.622196150641362213e-291
-1.048393463014896270e+02 -2.192235545314342581e-287
-1.047893463014896298e+02 -1.721733183227863521e-283
-1.047393463014896327e+02 -1.270284735042701979e-279
-1.046893463014896355e+02 -8.804260897330825114e-276
-1.046393463014896383e+02 -5.732463824898316716e-272
-1.045893463014896412e+02 -3.506277920155334640e-268
-1.045393463014896440e+02 -2.014688678038110952e-264
-1.044893463014896469e+02 -1.087492197530667614e-260
-1.044393463014896497e+02 -5.514434066403380970e-257
-1.043893463014896525e+02 -2.626832265118428632e-253
-1.043393463014896554e+02 -1.175493766733906885e-249
-1.042893463014896582e+02 -4.941569569476105041e-246
-1.042393463014896611e+02 -1.951488930604835540e-242
-1.041893463014896639e+02 -7.239754930090911645e-239
-1.041393463014896668e+02 -2.523121901068497624e-235
-1.040893463014896696e+02 -8.260554412432341743e-232
-1.040393463014896724e+02 -2.540602692644273713e-228
-1.039893463014896753e+02 -7.340419946940924098e-225
-1.039393463014896781e+02 -1.992331742093965791e-221
-1.038893463014896810e+02 -5.079944841247756943e-218
-1.038393463014896838e+02 -1.216782441178694623e-214
-1.037893463014896867e+02 -2.737937097042653829e-211
-1.037393463014896895e+02 -5.787494525918087122e-208
-1.036893463014896923e+02 -1.149249478108499813e-204
-1.036393463014896952e+02 -2.143851167394740891e-201
-1.035893463014896980e+02 -3.756916509234786389e-198
-1.035393463014897009e+02 -6.184791314172465579e-195
-1.034893463014897037e+02 -9.564783668594261339e-192
-1.034393463014897065e+02 -1.389574539614479783e-188
-1.033893463014897094e+02 -1.896466342260685894e-185
-1.033393463014897122e+02 -2.431448221400462376e-182
-1.032893463014897151e+02 -2.928474903400473134e-179
-1.032393463014897179e+02 -3.313405451296833168e-176
-1.031893463014897208e+02 -3.521796464892834235e-173
-1.031393463014897236e+02 -3.516499166648367389e-170
-1.030893463014897264e+02 -3.298476386515303563e-167
-1.030393463014897293e+02 -2.906516781184010052e-164
-1.029893463014897321e+02 -2.405962671876663667e-161
-1.029393463014897350e+02 -1.870947194687212346e-158
-1.028893463014897378e+02 -1.366755311303498725e-155
-1.028393463014897407e+02 -9.379433426289307320e-153
-1.027893463014897435e+02 -6.046708533190952665e-150
-1.027393463014897463e+02 -3.661997636770271515e-147
-1.026893463014897492e+02 -2.083404890500621831e-144
-1.026393463014897520e+02 -1.113488904286710838e-141
-1.025893463014897549e+02 -5.590552150404620534e-139
-1.025393463014897577e+02 -2.636817712086239650e-136
-1.024893463014897605e+02 -1.168320793883309075e-133
-1.024393463014897634e+02 -4.862960034002014442e-131
-1.023893463014897662e+02 -1.901498071187036183e-128
-1.023393463014897691e+02 -6.984698640939625215e-126
-1.022893463014897719e+02 -2.410216479651981941e-123
-1.022393463014897748e+02 -7.813057582388170326e-121
-1.021893463014897776e+02 -2.379263780913752790e-118
-1.021393463014897804e+02 -6.806451538706052192e-116
-1.020893463014897833e+02 -1.829176085754088077e-113
-1.020393463014897861e+02 -4.617924922025725394e-111
-1.019893463014897890e+02 -1.095203481803541645e-108
-1.019393463014897918e+02 -2.440053555761843718e-106
-1.018893463014897947e+02 -5.106936951883709882e-104
-1.018393463014897975e+02 -1.004102917188133911e-101
-1.017893463014898003e+02 -1.854609825331151851e-99
-1.017393463014898032e+02 -3.217981022312844297e-97
-1.016893463014898060e+02 -5.245308013073379254e-95
-1.016393463014898089e+02 -8.031841098664006458e-93
-1.015893463014898117e+02 -1.155355975330517461e-90
-1.015393463014898146e+02 -1.561252391511813459e-88
-1.014893463014898174e+02 -1.981924075697984317e-86
-1.014393463014898202e+02 -2.363510330930775921e-84
-1.013893463014898231e+02 -2.647796424842582238e-82
-1.013393463014898259e+02 -2.786559192207054171e-80
-1.012893463014898288e+02 -2.754917190632099322e-78
-1.012393463014898316e+02 -2.558617819219168488e-76
-1.011893463014898344e+02 -2.232332520918861883e-74
-1.011393463014898373e+02 -1.829653905592854241e-72
-1.010893463014898401e+02 -1.408755429304903910e-70
-1.010393463014898430e+02 -1.018964030059973286e-68
-1.009893463014898458e+02 -6.923707287543281085e-67
-1.009393463014898487e+02 -4.419520364490324086e-65
-1.008893463014898515e+02 -2.650136079386746043e-63
-1.008393463014898543e+02 -1.492855611257620769e-61
-1.007893463014898572e+02 -7.899944312588187883e-60
-1.007393463014898600e+02 -3.927234640642538005e-58
-1.006893463014898629e+02 -1.834029279305182437e-56
-1.006393463014898657e+02 -8.046041613291680492e-55
-1.005893463014898686e+02 -3.316002726335227899e-53
