# Energy(eV) COHP
-1.073893463014894820e+02 0.000000000000000000e+00
-1.073393463014894849e+02 0.000000000000000000e+00
-1.072893463014894877e+02 0.000000000000000000e+00
-1.072393463014894905e+02 0.000000000000000000e+00
-1.071893463014894934e+02 0.000000000000000000e+00
-1.071393463014894962e+02 0.000000000000000000e+00
-1.070893463014894991e+02 0.000000000000000000e+00
-1.070393463014895019e+02 0.000000000000000000e+00
-1.069893463014895048e+02 0.000000000000000000e+00
-1.069393463014895076e+02 0.000000000000000000e+00
-1.068893463014895104e+02 0.000000000000000000e+00
-1.068393463014895133e+02 0.000000000000000000e+00
-1.067893463014895161e+02 0.000000000000000000e+00
-1.067393463014895190e+02 0.000000000000000000e+00
-1.066893463014895218e+02 0.000000000000000000e+00
-1.066393463014895246e+02 0.000000000000000000e+00
-1.065893463014895275e+02 0.000000000000000000e+00
-1.065393463014895303e+02 0.000000000000000000e+00
-1.064893463014895332e+02 0.000000000000000000e+00
-1.064393463014895360e+02 0.000000000000000000e+00
-1.063893463014895389e+02 0.000000000000000000e+00
-1.063393463014895417e+02 0.000000000000000000e+00
-1.062893463014895445e+02 0.000000000000000000e+00
-1.062393463014895474e+02 0.000000000000000000e+00
-1.061893463014895502e+02 0.000000000000000000e+00
-1.061393463014895531e+02 0.000000000000000000e+00
-1.060893463014895559e+02 0.000000000000000000e+00
-1.060393463014895588e+02 0.000000000000000000e+00
-1.059893463014895616e+02 0.000000000000000000e+00
-1.059393463014895644e+02 0.000000000000000000e+00
-1.058893463014895673e+02 0.000000000000000000e+00
-1.058393463014895701e+02 0.000000000000000000e+00
-1.057893463014895730e+02 0.000000000000000000e+00
-1.057393463014895758e+02 0.000000000000000000e+00
-1.056893463014895787e+02 0.000000000000000000e+00
-1.056393463014895815e+02 0.000000000000000000e+00
-1.055893463014895843e+02 0.000000000000000000e+00
-1.055393463014895872e+02 0.000000000000000000e+00
-1.054893463014895900e+02 0.000000000000000000e+00
-1.054393463014895929e+02 0.000000000000000000e+00
-1.053893463014895957e+02 0.000000000000000000e+00
-1.053393463014895985e+02 0.000000000000000000e+00
-1.052893463014896014e+02 -1.771719405986710107e-320
-1.052393463014896042e+02 -2.441929829948923711e-316
-1.051893463014896071e+02 -3.161979509611931650e-312
-1.051393463014896099e+02 -3.846285535421083054e-308
-1.050893463014896128e+02 -4.395219682865456215e-304
-1.050393463014896156e+02 -4.718198922858351781e-300
-1.049893463014896184e+02 -4.758044529271453901e-296
-1.049393463014896213e+02 -4.507516779586652066e-292
-1.048893463014896241e+02 -4.011463056229680435e-288
-1.048393463014896270e+02 -3.353704831894849787e-284
-1.047893463014896298e+02 -2.633925404670432845e-280
-1.047393463014896327e+02 -1.943294853922331990e-276
-1.046893463014896355e+02 -1.346885026828056719e-272
-1.046393463014896383e+02 -8.769583026475042449e-269
-1.045893463014896412e+02 -5.363940580164736412e-265
-1.045393463014896440e+02 -3.082091780120017841e-261
-1.044893463014896469e+02 -1.663656921037465665e-257
-1.044393463014896497e+02 -8.436038824929634402e-254
-1.043893463014896525e+02 -4.018555432574087221e-250
-1.043393463014896554e+02 -1.798282640651419850e-246
-1.042893463014896582e+02 -7.559664734803961749e-243
-1.042393463014896611e+02 -2.985408146468271223e-239
-1.041893463014896639e+02 -1.107545270063530752e-235
-1.041393463014896668e+02 -3.859898234548427246e-232
-1.040893463014896696e+02 -1.263708240946904973e-228
-1.040393463014896724e+02 -3.886640532062183562e-225
-1.039893463014896753e+02 -1.122945109471036329e-221
-1.039393463014896781e+02 -3.047889906027381393e-218
-1.038893463014896810e+02 -7.771352670686238943e-215
-1.038393463014896838e+02 -1.861446486016477496e-211
-1.037893463014896867e+02 -4.188524764778172798e-208
-1.037393463014896895e+02 -8.853769567609745319e-205
-1.036893463014896923e+02 -1.758133853829312857e-201
-1.036393463014896952e+02 -3.279685905249845333e-198
-1.035893463014896980e+02 -5.747370111289566565e-195
-1.035393463014897009e+02 -9.461558343461366603e-192
-1.034893463014897037e+02 -1.463230594630011239e-188
-1.034393463014897065e+02 -2.125785642762633692e-185
-1.033893463014897094e+02 -2.901234016189456867e-182
-1.033393463014897122e+02 -3.719654881995641055e-179
-1.032893463014897151e+02 -4.480011490831251968e-176
-1.032393463014897179e+02 -5.068882263036001037e-173
-1.031893463014897208e+02 -5.387681011972517337e-170
-1.031393463014897236e+02 -5.379577149795650052e-167
-1.030893463014897264e+02 -5.046043623821112580e-164
-1.030393463014897293e+02 -4.446419726144246044e-161
-1.029893463014897321e+02 -3.680666822175086507e-158
-1.029393463014897350e+02 -2.862194557721628845e-155
-1.028893463014897378e+02 -2.090876548979248462e-152
-1.028393463014897407e+02 -1.434875520991157586e-149
-1.027893463014897435e+02 -9.250317863044479309e-147
-1.027393463014897463e+02 -5.602162228905463162e-144
-1.026893463014897492e+02 -3.187214559584845625e-141
-1.026393463014897520e+02 -1.703426954530191696e-138
-1.025893463014897549e+02 -8.552485064776061124e-136
-1.025393463014897577e+02 -4.033831273628737610e-133
-1.024893463014897605e+02 -1.787309351873433562e-130
-1.024393463014897634e+02 -7.439407046474824235e-128
-1.023893463014897662e+02 -2.908931607649989114e-125
-1.023393463014897691e+02 -1.068526492580421188e-122
-1.022893463014897719e+02 -3.687174341734528798e-120
-1.022393463014897748e+02 -1.195249708542186806e-117
-1.021893463014897776e+02 -3.639822579949414666e-115
-1.021393463014897804e+02 -1.041258064727871532e-112
-1.020893463014897833e+02 -2.798292679037996049e-110
-1.020393463014897861e+02 -7.064549773142481394e-108
-1.019893463014897890e+02 -1.675453724251120356e-105
-1.019393463014897918e+02 -3.732819412371730885e-103
-1.018893463014897947e+02 -7.812645483429978388e-101
-1.018393463014897975e+02 -1.536087129091185831e-98
-1.017893463014898003e+02 -2.837201479460955694e-96
-1.017393463014898032e+02 -4.922900975008613085e-94
-1.016893463014898060e+02 -8.024326977919965665e-92
-1.016393463014898089e+02 -1.228719439349238886e-89
-1.015893463014898117e+02 -1.767475637052929351e-87
-1.015393463014898146e+02 -2.388420213517602083e-85
-1.014893463014898174e+02 -3.031968149282055140e-83
-1.014393463014898202e+02 -3.615722787643862937e-81
-1.013893463014898231e+02 -4.050626623059883050e-79
-1.013393463014898259e+02 -4.262907353746878359e-77
-1.012893463014898288e+02 -4.214501089283386827e-75
-1.012393463014898316e+02 -3.914200260837933593e-73
-1.011893463014898344e+02 -3.415045603928524927e-71
-1.011393463014898373e+02 -2.799023652817465299e-69
-1.010893463014898401e+02 -2.155128768127200209e-67
-1.010393463014898430e+02 -1.558821814764972052e-65
-1.009893463014898458e+02 -1.059195971641358617e-63
-1.009393463014898487e+02 -6.761028408981303212e-62
-1.008893463014898515e+02 -4.054205851015792383e-60
-1.008393463014898543e+02 -2.283786104781058633e-58
-1.007893463014898572e+02 -1.208541731268584124e-56
-1.007393463014898600e+02 -6.007924567439293197e-55
-1.006893463014898629e+02 -2.805717145216921947e-53
-1.006393463014898657e+02 -1.230891848907327317e-51
-1.005893463014898686e+02 -5.072855601514451248e-50
