channel,energy_ev,abacus_minus_cohp,lobster_minus_pcohp,lobster_scaled_minus_pcohp
Pt-C_total,-12.030080,5.2982904034e-17,-0.0000000000e+00,-0.0000000000e+00
Pt-C_total,-11.980080,3.9853948341e-16,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.930080,2.8216103640e-15,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.880080,1.8803082688e-14,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.830080,1.1794595697e-13,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.780080,6.9642461603e-13,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.730080,3.8709419450e-12,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.680080,2.0254637593e-11,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.630080,9.9772459610e-11,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.580080,4.6268739914e-10,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.530080,2.0200733774e-09,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.480080,8.3034780872e-09,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.430080,3.2134870380e-08,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.380080,1.1709168964e-07,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.330080,4.0171422068e-07,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.280080,1.2976504799e-06,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.230080,3.9468860643e-06,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.180080,1.1303523997e-05,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.130080,3.0481809651e-05,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.080080,7.7399749123e-05,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-11.030080,1.8506047347e-04,0.0000000000e+00,0.0000000000e+00
Pt-C_total,-10.980080,4.1664440168e-04,3.7893476960e-05,9.3673516625e-07
Pt-C_total,-10.930080,8.8327655707e-04,2.2898643256e-04,5.6605954688e-06
Pt-C_total,-10.880080,1.7632247301e-03,1.0881149013e-03,2.6898442020e-05
Pt-C_total,-10.830080,3.3143472066e-03,4.4298044693e-03,1.0950575030e-04
Pt-C_total,-10.780080,5.8663270537e-03,1.6000837822e-02,3.9554426459e-04
Pt-C_total,-10.730080,9.7770995329e-03,5.1353375898e-02,1.2694668573e-03
Pt-C_total,-10.680080,1.5343549704e-02,1.4628897666e-01,3.6162959925e-03
Pt-C_total,-10.630080,2.2673012360e-02,3.6978485834e-01,9.1411638241e-03
Pt-C_total,-10.580080,3.1546754353e-02,8.2938329344e-01,2.0502539212e-02
Pt-C_total,-10.530080,4.1329077094e-02,1.6509890263e+00,4.0812815401e-02
Pt-C_total,-10.480080,5.0980578711e-02,2.9163397506e+00,7.2092566329e-02
Pt-C_total,-10.430080,5.9209759971e-02,4.5721329130e+00,1.1302414104e-01
Pt-C_total,-10.380080,6.4745826510e-02,6.3612552603e+00,1.5725164281e-01
Pt-C_total,-10.330080,6.6657598273e-02,7.8551837024e+00,1.9418188569e-01
Pt-C_total,-10.280080,6.4609359179e-02,8.6097458220e+00,2.1283482887e-01
Pt-C_total,-10.230080,5.8957166054e-02,8.3762197905e+00,2.0706201351e-01
Pt-C_total,-10.180080,5.0647689117e-02,7.2337374222e+00,1.7881959562e-01
Pt-C_total,-10.130080,4.0959041569e-02,5.5460774686e+00,1.3710026676e-01
Pt-C_total,-10.080080,3.1181027288e-02,3.7750835355e+00,9.3320903410e-02
Pt-C_total,-10.030080,2.2344002574e-02,2.2818647776e+00,5.6408204083e-02
Pt-C_total,-9.980080,1.5070601277e-02,1.2247752634e+00,3.0276716522e-02
Pt-C_total,-9.930080,9.5661696925e-03,5.8396128466e-01,1.4435652649e-02
Pt-C_total,-9.880080,5.7125259833e-03,2.4731696927e-01,6.1137304073e-03
Pt-C_total,-9.830080,3.2058447043e-03,9.3147486535e-02,2.3026265544e-03
Pt-C_total,-9.780080,1.6850420754e-03,3.1353703112e-02,7.7507050432e-04
